X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Crude Oil WTI Futures Historical Data_Price,Trend,0.2829,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Open,Trend,0.9845,0.0205,0.0,0.0001,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_High,Trend,0.2849,0.0053,0.0,0.0002,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Low,Trend,0.5721,0.0041,0.0,0.011,0.0001,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Change %,Trend,0.3403,0.0065,0.0278,0.0003,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Price,Trend,0.3619,0.0022,0.0033,0.0001,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Open,Trend,0.818,0.0024,0.0001,0.0002,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_High,Trend,0.5424,0.013,0.0064,0.0124,0.0007,0.0,0.0,0.0
Brent Oil Futures Historical Data_Low,Trend,0.8346,0.0092,0.0085,0.0071,0.0005,0.0,0.0,0.0
Brent Oil Futures Historical Data_Change %,Trend,0.4087,0.0141,0.0908,0.0014,0.0001,0.0,0.0,0.0002
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Price,Trend,0.3033,0.0007,0.0159,0.0184,0.0237,0.0006,0.0002,0.0206
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Open,Trend,0.3033,0.0007,0.0159,0.0184,0.0237,0.0006,0.0002,0.0206
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_High,Trend,0.3033,0.0007,0.0159,0.0184,0.0237,0.0006,0.0002,0.0206
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Low,Trend,0.3033,0.0007,0.0159,0.0184,0.0237,0.0006,0.0002,0.0206
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Change %,Trend,0.1944,0.008,0.0676,0.006,0.0132,0.0144,0.0055,0.0614
DCOILBRENTEU_DCOILBRENTEU,Trend,0.4842,0.0175,0.0035,0.0208,0.0047,0.0,0.0,0.0005
Others - Naphtha_x,Trend,0.2082,0.0135,0.0296,0.2245,0.229,0.082,0.0407,0.1649
Others - Jet Kero,Trend,0.109,0.0183,0.0025,0.1113,0.1013,0.0119,0.0023,0.0067
Others - Gasoil 500 ppm,Trend,0.0523,0.008,0.0014,0.141,0.0933,0.0092,0.0006,0.0024
Others - WTI 1st,Trend,0.0087,0.2345,0.0,0.0028,0.0011,0.0,0.0,0.0
Others - WTI 2nd,Trend,0.0351,0.1597,0.0,0.01,0.0296,0.0001,0.0,0.0
Others - WTI 3rd,Trend,0.0325,0.2009,0.0,0.0205,0.0517,0.0001,0.0,0.0
Others - Dated Brent,Trend,0.0987,0.054,0.0001,0.1439,0.1933,0.0136,0.0067,0.0004
Others - ICE Brent 1st,Trend,0.0126,0.2321,0.0034,0.0479,0.0597,0.0005,0.0001,0.0002
Others - ICE Brent 2nd,Trend,0.036,0.4165,0.0013,0.0913,0.181,0.0068,0.005,0.0002
Others - ICE Brent 3rd,Trend,0.0369,0.3946,0.0013,0.0896,0.1766,0.0066,0.0044,0.0002
Others - DME Oman at Singapore MOC Mo01,Trend,0.0847,0.1467,0.0609,0.3447,0.4298,0.0922,0.0673,0.0965
Others - Oman,Trend,0.2924,0.0503,0.008,0.2597,0.2667,0.0376,0.0059,0.0223
Others - Dubai 1st,Trend,0.267,0.0472,0.0082,0.2696,0.2866,0.0325,0.0037,0.0187
Others - Dubai 2nd,Trend,0.1758,0.0547,0.0053,0.2161,0.1798,0.0154,0.0007,0.0066
Others - Dubai 3rd,Trend,0.1497,0.0386,0.0044,0.1718,0.1294,0.0117,0.0006,0.0056
Others - ICE Brent Asia Close 1st (ICE Brent at Singapore MOC Mo01),Trend,0.1162,0.0221,0.0003,0.1289,0.0802,0.0061,0.0007,0.0026
Others - ICE Brent Asia Close 2nd,Trend,0.1096,0.0186,0.0003,0.1163,0.0859,0.0057,0.0004,0.0019
Others - Reuters Dubai Swap 1st (Asia Cls),Trend,0.0437,0.1133,0.0275,0.2694,0.4167,0.0371,0.0167,0.0341
Others - Average O/D,Trend,0.279,0.0488,0.0081,0.2652,0.2774,0.0347,0.0046,0.0202
Others - Gasoil 10 ppm,Trend,0.0423,0.0032,0.0012,0.1277,0.0847,0.0107,0.0012,0.0048
Others - Naphtha_y,Trend,0.2082,0.0135,0.0296,0.2245,0.229,0.082,0.0407,0.1649
Others - GASOIL 10ppm,Trend,0.0447,0.0044,0.0008,0.1027,0.0644,0.0082,0.001,0.003
Others - JET KEROSENE,Trend,0.109,0.0183,0.0025,0.1113,0.1013,0.0119,0.0023,0.0067
"KEI_05082020093546645 - 3 month interbank rate - CHE - M - Level, ratio or index - Percentage",Trend,0.0468,0.0147,0.1678,0.0799,0.0185,0.07,0.1149,0.3289
"KEI_05082020093546645 - 3 month interbank rate - CHL - M - Level, ratio or index - Percentage",Trend,0.0091,0.0039,0.2656,0.0169,0.0004,0.0127,0.003,0.0099
"KEI_05082020093546645 - 3 month interbank rate - RUS - M - Level, ratio or index - Percentage",Trend,0.1002,0.0762,0.0333,0.003,0.0029,0.0644,0.0458,0.2735
"KEI_05082020093546645 - Broad money, s.a. - JPN - M - Growth on the same period of the previous year - Percentage",Trend,0.0016,0.002,0.1125,0.0131,0.0324,0.0422,0.0146,0.0632
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Growth on the same period of the previous year - Percentage",Trend,0.0258,0.0004,0.0394,0.0026,0.0038,0.0054,0.0113,0.0012
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Level, ratio or index - Index",Trend,0.0706,0.0108,0.2194,0.0479,0.1713,0.0954,0.0822,0.0322
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Growth previous period - Percentage",Trend,0.0003,0.0011,0.0132,0.0356,0.0461,0.0563,0.0396,0.037
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Level, ratio or index - Index",Trend,0.0119,0.0,0.0121,0.015,0.0093,0.0063,0.0007,0.0021
"KEI_05082020093546645 - Construction, s.a. - PRT - M - Growth on the same period of the previous year - Percentage",Trend,0.5785,0.4799,0.3225,0.0254,0.0001,0.0017,0.0134,0.1319
