X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Crude Oil WTI Futures Historical Data_Price,Trend,0.01,0.0042,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Open,Trend,0.011,0.0075,0.0011,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_High,Trend,0.0183,0.0009,0.0009,0.0001,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Low,Trend,0.0142,0.0767,0.0033,0.0016,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Change %,Trend,0.055,0.0329,0.029,0.0001,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Price,Trend,0.0753,0.0279,0.0026,0.0002,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Open,Trend,0.0017,0.0127,0.0052,0.0001,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_High,Trend,0.1087,0.0613,0.0867,0.0129,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Low,Trend,0.1069,0.3042,0.0413,0.0051,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Change %,Trend,0.1737,0.0929,0.1809,0.0008,0.0,0.0,0.0,0.0
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Price,Trend,0.0046,0.007,0.0022,0.0057,0.0002,0.0009,0.0,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Open,Trend,0.0046,0.007,0.0022,0.0057,0.0002,0.0009,0.0,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_High,Trend,0.0046,0.007,0.0022,0.0057,0.0002,0.0009,0.0,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Low,Trend,0.0046,0.007,0.0022,0.0057,0.0002,0.0009,0.0,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Change %,Trend,0.0024,0.0045,0.0061,0.0013,0.0015,0.0084,0.0006,0.0154
DCOILBRENTEU_DCOILBRENTEU,Trend,0.364,0.2652,0.0442,0.024,0.0,0.0,0.0,0.0
Others - Jet Kero,Trend,0.1253,0.0706,0.0013,0.1191,0.01,0.0069,0.0001,0.0022
Others - Gasoil 500 ppm,Trend,0.0267,0.0301,0.0007,0.1899,0.0103,0.0037,0.0,0.0003
Others - WTI 1st,Trend,0.187,0.0686,0.0001,0.0125,0.0,0.0,0.0,0.0
Others - WTI 2nd,Trend,0.2497,0.1254,0.0,0.0317,0.0,0.0,0.0,0.0
Others - WTI 3rd,Trend,0.2563,0.1767,0.0,0.0537,0.0,0.0001,0.0,0.0001
Others - ICE Brent 1st,Trend,0.2251,0.2512,0.0174,0.0994,0.0001,0.0002,0.0,0.0001
Others - ICE Brent 2nd,Trend,0.2883,0.263,0.0032,0.1218,0.0011,0.0025,0.0,0.0009
Others - ICE Brent 3rd,Trend,0.3038,0.2572,0.0034,0.1193,0.001,0.0024,0.0,0.0011
Others - Dubai 1st,Trend,0.1949,0.0668,0.007,0.3962,0.02,0.0126,0.0002,0.0056
Others - Dubai 3rd,Trend,0.1171,0.0798,0.0046,0.286,0.0101,0.0038,0.0,0.0009
Others - ICE Brent Asia Close 1st (ICE Brent at Singapore MOC Mo01),Trend,0.04,0.0436,0.0006,0.2232,0.0052,0.0038,0.0,0.0004
Others - ICE Brent Asia Close 2nd,Trend,0.053,0.0438,0.0006,0.2139,0.0049,0.003,0.0,0.0003
Others - Reuters Dubai Swap 1st (Asia Cls),Trend,0.0955,0.141,0.0127,0.188,0.0079,0.0079,0.0004,0.0077
Others - Average O/D,Trend,0.1423,0.0652,0.0058,0.3922,0.0208,0.0141,0.0003,0.0058
Others - Gasoil 10 ppm,Trend,0.0156,0.012,0.0007,0.1672,0.0105,0.0051,0.0,0.001
Others - GASOIL 10ppm,Trend,0.0136,0.0131,0.0004,0.137,0.0071,0.0039,0.0,0.0004
Others - JET KEROSENE,Trend,0.1253,0.0706,0.0013,0.1191,0.01,0.0069,0.0001,0.0022
"KEI_05082020093546645 - 3 month interbank rate - CHL - M - Level, ratio or index - Percentage",Trend,0.0428,0.4041,0.1105,0.001,0.0012,0.0053,0.011,0.0232
"KEI_05082020093546645 - Broad money, s.a. - JPN - M - Growth on the same period of the previous year - Percentage",Trend,0.0815,0.0551,0.3145,0.0739,0.1192,0.0297,0.076,0.1117
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Growth on the same period of the previous year - Percentage",Trend,0.1415,0.0481,0.0618,0.0263,0.0172,0.0243,0.0437,0.0155
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Growth previous period - Percentage",Trend,0.0165,0.0043,0.0972,0.1472,0.1325,0.2245,0.2389,0.5445
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Level, ratio or index - Index",Trend,0.003,0.005,0.0577,0.0218,0.0147,0.0137,0.0152,0.057
KEI_05082020093546645 - Consumer prices: all items - ITA - M - Growth previous period - Percentage,Trend,0.0,0.0002,0.0479,0.0098,0.0025,0.0119,0.0108,0.0287
"KEI_05082020093546645 - Consumer prices: all items - ITA - M - Level, ratio or index - Index",Trend,0.0022,0.0015,0.0271,0.0128,0.0105,0.0084,0.0046,0.0092
KEI_05082020093546645 - Consumer prices: all items - LVA - M - Growth on the same period of the previous year - Percentage,Trend,0.0753,0.0461,0.0447,0.0499,0.0624,0.0076,0.0077,0.0592
"KEI_05082020093546645 - Exports in goods, s.a. - BRA - M - Growth previous period - Percentage",Trend,0.022,0.043,0.002,0.0002,0.0001,0.0033,0.0067,0.0237
"KEI_05082020093546645 - Exports in goods, s.a. - BRA - M - Level, ratio or index - US Dollar",Trend,0.0233,0.0367,0.0003,0.0002,0.0001,0.0035,0.0033,0.0032
"KEI_05082020093546645 - Exports in goods, s.a. - DNK - M - Growth on the same period of the previous year - Percentage",Trend,0.0339,0.0021,0.0068,0.0001,0.0,0.0001,0.0007,0.0003
"KEI_05082020093546645 - Exports in goods, s.a. - EST - M - Growth on the same period of the previous year - Percentage",Trend,0.0137,0.1838,0.0629,0.0429,0.0113,0.0241,0.032,0.0199
"KEI_05082020093546645 - Exports in goods, s.a. - IRL - M - Growth previous period - Percentage",Trend,0.2748,0.0104,0.375,0.0096,0.0016,0.0141,0.0285,0.0181
"KEI_05082020093546645 - Exports in goods, s.a. - ISL - M - Growth previous period - Percentage",Trend,0.1203,0.0063,0.1341,0.0425,0.0059,0.0302,0.0074,0.0011
