X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Others - JET KEROSENE,Trend,0.0,0.0,0.0,0.003,0.0012,0.0002,0.0001,0.0023
POILDUBUSDM - POILDUBUSDM,Trend,0.0359,0.1693,0.0609,0.0891,0.2024,0.2252,0.0969,0.3756
"KEI_05082020093546645 - 3 month interbank rate - CHE - M - Level, ratio or index - Percentage",Trend,0.6554,0.0002,0.1278,0.0067,0.0101,0.0177,0.0204,0.2545
"KEI_05082020093546645 - 3 month interbank rate - CHL - M - Level, ratio or index - Percentage",Trend,0.0036,0.0557,0.0627,0.0209,0.0332,0.1423,0.0099,0.0373
"KEI_05082020093546645 - 3 month interbank rate - RUS - M - Level, ratio or index - Percentage",Trend,0.0371,0.0017,0.0291,0.0141,0.0002,0.0014,0.0002,0.0099
"KEI_05082020093546645 - Broad money, s.a. - JPN - M - Growth on the same period of the previous year - Percentage",Trend,0.0069,0.0166,0.0253,0.0095,0.1002,0.0354,0.0711,0.2316
"KEI_05082020093546645 - Broad money, s.a. - JPN - M - Growth previous period - Percentage",Trend,0.0277,0.0782,0.2124,0.0671,0.1775,0.2346,0.1834,0.3546
"KEI_05082020093546645 - Broad money, s.a. - USA - M - Growth previous period - Percentage",Trend,0.0049,0.0107,0.0262,0.0015,0.0049,0.005,0.0282,0.1095
"KEI_05082020093546645 - Construction, s.a. - CAN - M - Growth previous period - Percentage",Trend,0.0162,0.0164,0.0826,0.1905,0.1322,0.3338,0.494,0.3128
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Growth on the same period of the previous year - Percentage",Trend,0.1723,0.0069,0.0045,0.0067,0.0002,0.0,0.0004,0.0001
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Growth previous period - Percentage",Trend,0.0668,0.0025,0.0887,0.269,0.0968,0.028,0.1448,0.0504
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Level, ratio or index - Index",Trend,0.1685,0.0004,0.0307,0.0261,0.0122,0.0033,0.0295,0.0061
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Growth previous period - Percentage",Trend,0.0241,0.0139,0.0123,0.0084,0.008,0.0752,0.0681,0.0083
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Level, ratio or index - Index",Trend,0.1037,0.0068,0.0102,0.0012,0.0027,0.0176,0.0076,0.0061
"KEI_05082020093546645 - Construction, s.a. - PRT - M - Growth on the same period of the previous year - Percentage",Trend,0.0009,0.0045,0.0277,0.0006,0.005,0.0021,0.0026,0.0202
"KEI_05082020093546645 - Consumer confidence indicator, s.a. - COL - M - Level, ratio or index - Percentage",Trend,0.0074,0.0037,0.0489,0.0201,0.0071,0.0061,0.0051,0.0089
"KEI_05082020093546645 - Consumer confidence indicator, s.a. - LVA - M - Level, ratio or index - Percentage",Trend,0.0377,0.0403,0.1515,0.342,0.063,0.0358,0.1055,0.1767
"KEI_05082020093546645 - Consumer prices: all items - ESP - M - Level, ratio or index - Index",Trend,0.0198,0.0129,0.012,0.0304,0.0123,0.0071,0.015,0.1058
KEI_05082020093546645 - Consumer prices: all items - G-20 - M - Growth previous period - Percentage,Trend,0.0005,0.0296,0.0006,0.048,0.136,0.0119,0.0019,0.0039
KEI_05082020093546645 - Consumer prices: all items - G-7 - M - Growth previous period - Percentage,Trend,0.0,0.0004,0.0007,0.0357,0.0263,0.0142,0.0504,0.2168
KEI_05082020093546645 - Consumer prices: all items - ITA - M - Growth previous period - Percentage,Trend,0.0001,0.0016,0.0055,0.0005,0.0001,0.0001,0.0,0.0002
"KEI_05082020093546645 - Consumer prices: all items - ITA - M - Level, ratio or index - Index",Trend,0.0071,0.0502,0.0663,0.0107,0.0086,0.0022,0.001,0.0042
KEI_05082020093546645 - Consumer prices: all items - JPN - M - Growth previous period - Percentage,Trend,0.0006,0.0199,0.0086,0.1174,0.0802,0.0005,0.0053,0.0652
"KEI_05082020093546645 - Consumer prices: all items - JPN - M - Level, ratio or index - Index",Trend,0.0008,0.0002,0.0,0.0049,0.0084,0.0029,0.0039,0.0473
KEI_05082020093546645 - Consumer prices: all items - KOR - M - Growth on the same period of the previous year - Percentage,Trend,0.0473,0.0014,0.0032,0.0034,0.003,0.0305,0.0061,0.0672
KEI_05082020093546645 - Consumer prices: all items - KOR - M - Growth previous period - Percentage,Trend,0.0133,0.0738,0.0203,0.007,0.0125,0.0188,0.0162,0.1633
KEI_05082020093546645 - Consumer prices: all items - LVA - M - Growth on the same period of the previous year - Percentage,Trend,0.0001,0.0007,0.0127,0.0012,0.0075,0.0181,0.0106,0.1172
KEI_05082020093546645 - Consumer prices: all items - OECD - M - Growth previous period - Percentage,Trend,0.0,0.0009,0.0003,0.014,0.0223,0.0131,0.0275,0.164
"KEI_05082020093546645 - Consumer prices: all items - OECD - M - Level, ratio or index - Index",Trend,0.0012,0.0007,0.0063,0.0753,0.0782,0.0288,0.0308,0.2394
KEI_05082020093546645 - Consumer prices: all items - OECDE - M - Growth previous period - Percentage,Trend,0.0019,0.034,0.0295,0.0133,0.0113,0.0112,0.0518,0.2366
"KEI_05082020093546645 - Consumer prices: all items - OECDE - M - Level, ratio or index - Index",Trend,0.0008,0.0009,0.0076,0.0346,0.0117,0.0022,0.003,0.034
KEI_05082020093546645 - Consumer prices: all items - TUR - M - Growth previous period - Percentage,Trend,0.068,0.0297,0.0687,0.206,0.3554,0.1786,0.4627,0.3109
"KEI_05082020093546645 - Consumer prices: all items - TUR - M - Level, ratio or index - Index",Trend,0.0698,0.0081,0.0332,0.1566,0.2787,0.0746,0.2243,0.1267
"KEI_05082020093546645 - Exports in goods, s.a. - BEL - M - Growth previous period - Percentage",Trend,0.0076,0.0219,0.1858,0.0122,0.0107,0.0507,0.0858,0.3669
"KEI_05082020093546645 - Exports in goods, s.a. - BEL - M - Level, ratio or index - US Dollar",Trend,0.0067,0.0069,0.0744,0.0175,0.0148,0.0186,0.023,0.1894
"KEI_05082020093546645 - Exports in goods, s.a. - BRA - M - Growth previous period - Percentage",Trend,0.0003,0.0001,0.0004,0.0,0.0,0.0,0.0003,0.0081
"KEI_05082020093546645 - Exports in goods, s.a. - BRA - M - Level, ratio or index - US Dollar",Trend,0.004,0.0027,0.0032,0.0013,0.0013,0.0004,0.0041,0.0204
"KEI_05082020093546645 - Exports in goods, s.a. - DNK - M - Growth on the same period of the previous year - Percentage",Trend,0.0374,0.0002,0.0061,0.0004,0.0,0.0,0.0,0.0
"KEI_05082020093546645 - Exports in goods, s.a. - DNK - M - Growth previous period - Percentage",Trend,0.2962,0.0053,0.0837,0.0883,0.032,0.0702,0.0301,0.0103
"KEI_05082020093546645 - Exports in goods, s.a. - EST - M - Growth on the same period of the previous year - Percentage",Trend,0.5834,0.0003,0.0022,0.0135,0.0041,0.0056,0.0049,0.0039
"KEI_05082020093546645 - Exports in goods, s.a. - FRA - M - Growth previous period - Percentage",Trend,0.1701,0.0245,0.139,0.0098,0.0216,0.0282,0.0276,0.0786
"KEI_05082020093546645 - Exports in goods, s.a. - FRA - M - Level, ratio or index - US Dollar",Trend,0.1533,0.0005,0.0572,0.0127,0.0503,0.0487,0.0565,0.221
"KEI_05082020093546645 - Exports in goods, s.a. - GBR - M - Growth previous period - Percentage",Trend,0.0137,0.0279,0.0018,0.0375,0.0184,0.0637,0.0435,0.0602
"KEI_05082020093546645 - Exports in goods, s.a. - GBR - M - Level, ratio or index - US Dollar",Trend,0.0413,0.0048,0.0164,0.0241,0.0056,0.0124,0.0117,0.0224
"KEI_05082020093546645 - Exports in goods, s.a. - IRL - M - Growth previous period - Percentage",Trend,0.484,0.0328,0.0328,0.0148,0.0012,0.0159,0.0116,0.0006
"KEI_05082020093546645 - Exports in goods, s.a. - ISL - M - Growth previous period - Percentage",Trend,0.087,0.0005,0.0318,0.0074,0.0048,0.0041,0.0079,0.0015
"KEI_05082020093546645 - Exports in goods, s.a. - ISL - M - Level, ratio or index - US Dollar",Trend,0.245,0.0249,0.0833,0.0146,0.0073,0.0187,0.0061,0.0013
"KEI_05082020093546645 - Exports in goods, s.a. - NOR - M - Level, ratio or index - US Dollar",Trend,0.0494,0.0061,0.0117,0.006,0.0297,0.0623,0.1483,0.3172
"KEI_05082020093546645 - Exports in goods, s.a. - USA - M - Growth on the same period of the previous year - Percentage",Trend,0.1004,0.0563,0.1483,0.1044,0.0288,0.0438,0.0112,0.0259
"KEI_05082020093546645 - Exports in goods, s.a. - ZAF - M - Growth previous period - Percentage",Trend,0.0431,0.0037,0.0161,0.032,0.0189,0.0208,0.0127,0.0761
"KEI_05082020093546645 - Exports in goods, s.a. - ZAF - M - Level, ratio or index - US Dollar",Trend,0.002,0.0006,0.0164,0.0025,0.0076,0.0143,0.0236,0.1654
"KEI_05082020093546645 - GDP (ratio to trend, smoothed) - CHE - M - Level, ratio or index - Index",Trend,0.0201,0.0049,0.0018,0.0136,0.0053,0.0039,0.0074,0.0023
"KEI_05082020093546645 - GDP (ratio to trend, smoothed) - LUX - M - Level, ratio or index - Index",Trend,0.5578,0.0115,0.0355,0.0102,0.0069,0.0136,0.0482,0.0479
"KEI_05082020093546645 - Harmonised unemployment rate: all persons, s.a. - CZE - M - Level, ratio or index - Percentage",Trend,0.0004,0.0031,0.0144,0.0059,0.0133,0.0589,0.1329,0.0758
"KEI_05082020093546645 - Harmonised unemployment rate: all persons, s.a. - ESP - M - Level, ratio or index - Percentage",Trend,0.1953,0.0014,0.0033,0.0043,0.0001,0.0,0.0,0.0005
"KEI_05082020093546645 - Harmonised unemployment rate: all persons, s.a. - ISR - M - Level, ratio or index - Percentage",Trend,0.1962,0.5498,0.1627,0.0532,0.0088,0.0015,0.001,0.0212
"KEI_05082020093546645 - Hourly earnings: manufacturing, s.a. - CAN - M - Growth previous period - Percentage",Trend,0.009,0.0106,0.0193,0.0013,0.0006,0.0009,0.0047,0.0346
"KEI_05082020093546645 - Hourly earnings: manufacturing, s.a. - CAN - M - Level, ratio or index - Index",Trend,0.0429,0.0451,0.0325,0.0127,0.0029,0.0212,0.0195,0.0679
"KEI_05082020093546645 - Hourly earnings: manufacturing, s.a. - G-7 - M - Growth on the same period of the previous year - Percentage",Trend,0.0148,0.0075,0.0061,0.0087,0.0004,0.0013,0.0007,0.0008
"KEI_05082020093546645 - Hourly earnings: manufacturing, s.a. - OECD - M - Growth on the same period of the previous year - Percentage",Trend,0.0042,0.028,0.0633,0.0202,0.0019,0.0044,0.0045,0.0088
"KEI_05082020093546645 - Hourly earnings: manufacturing, s.a. - SVN - M - Level, ratio or index - Index",Trend,0.0701,0.0555,0.1073,0.0195,0.0259,0.1352,0.2667,0.4354
"KEI_05082020093546645 - Imports in goods, s.a. - AUT - M - Growth previous period - Percentage",Trend,0.2189,0.0014,0.028,0.0146,0.0542,0.2166,0.2279,0.3818
"KEI_05082020093546645 - Imports in goods, s.a. - AUT - M - Level, ratio or index - US Dollar",Trend,0.16,0.0015,0.0034,0.0056,0.0286,0.0272,0.0208,0.1142
"KEI_05082020093546645 - Imports in goods, s.a. - BEL - M - Growth previous period - Percentage",Trend,0.0712,0.0005,0.0211,0.0046,0.0006,0.0048,0.0156,0.0587
"KEI_05082020093546645 - Imports in goods, s.a. - EU28 - M - Growth previous period - Percentage",Trend,0.0878,0.0055,0.1843,0.0406,0.0495,0.1413,0.0658,0.1533
"KEI_05082020093546645 - Imports in goods, s.a. - EU28 - M - Level, ratio or index - US Dollar",Trend,0.0596,0.0,0.0201,0.036,0.0642,0.1362,0.174,0.3208
"KEI_05082020093546645 - Imports in goods, s.a. - FIN - M - Growth on the same period of the previous year - Percentage",Trend,0.004,0.0012,0.3089,0.2758,0.1781,0.3639,0.0873,0.0286
"KEI_05082020093546645 - Imports in goods, s.a. - G-20 - M - Growth previous period - Percentage",Trend,0.0542,0.0018,0.0192,0.0306,0.0224,0.0546,0.0437,0.1469
"KEI_05082020093546645 - Imports in goods, s.a. - GBR - M - Level, ratio or index - US Dollar",Trend,0.0021,0.0001,0.004,0.0872,0.0199,0.049,0.0476,0.1272
"KEI_05082020093546645 - Imports in goods, s.a. - GRC - M - Growth previous period - Percentage",Trend,0.0212,0.0166,0.068,0.0811,0.0172,0.0202,0.018,0.0159
"KEI_05082020093546645 - Imports in goods, s.a. - GRC - M - Level, ratio or index - US Dollar",Trend,0.0441,0.0259,0.0403,0.0147,0.0023,0.0021,0.0032,0.0042
"KEI_05082020093546645 - Imports in goods, s.a. - HUN - M - Growth previous period - Percentage",Trend,0.1795,0.4812,0.1777,0.0119,0.0064,0.1016,0.2028,0.2779
"KEI_05082020093546645 - Imports in goods, s.a. - HUN - M - Level, ratio or index - US Dollar",Trend,0.083,0.4183,0.2573,0.0841,0.0241,0.1335,0.2174,0.227
"KEI_05082020093546645 - Imports in goods, s.a. - IDN - M - Growth on the same period of the previous year - Percentage",Trend,0.117,0.0842,0.0651,0.0107,0.0126,0.0682,0.0566,0.0649
"KEI_05082020093546645 - Imports in goods, s.a. - IDN - M - Growth previous period - Percentage",Trend,0.0368,0.0933,0.0326,0.0187,0.0102,0.0262,0.0308,0.0308
"KEI_05082020093546645 - Imports in goods, s.a. - IDN - M - Level, ratio or index - US Dollar",Trend,0.2756,0.0846,0.0187,0.0195,0.0063,0.0217,0.0186,0.0171
"KEI_05082020093546645 - Imports in goods, s.a. - IRL - M - Growth on the same period of the previous year - Percentage",Trend,0.0108,0.0011,0.0057,0.0215,0.0193,0.0534,0.1225,0.1201
"KEI_05082020093546645 - Imports in goods, s.a. - ISR - M - Growth on the same period of the previous year - Percentage",Trend,0.3521,0.0022,0.0038,0.0069,0.0018,0.0148,0.1517,0.0584
"KEI_05082020093546645 - Imports in goods, s.a. - MEX - M - Level, ratio or index - US Dollar",Trend,0.2756,0.1718,0.3488,0.0563,0.0437,0.103,0.027,0.017
"KEI_05082020093546645 - Imports in goods, s.a. - NLD - M - Level, ratio or index - US Dollar",Trend,0.1558,0.007,0.0119,0.0135,0.026,0.0332,0.0807,0.3159
"KEI_05082020093546645 - Imports in goods, s.a. - NZL - M - Growth previous period - Percentage",Trend,0.2184,0.047,0.0471,0.6852,0.1266,0.0427,0.0176,0.01
"KEI_05082020093546645 - Imports in goods, s.a. - SWE - M - Growth previous period - Percentage",Trend,0.0903,0.0004,0.014,0.0147,0.0457,0.1026,0.22,0.2337
"KEI_05082020093546645 - Imports in goods, s.a. - ZAF - M - Growth previous period - Percentage",Trend,0.0546,0.0049,0.0154,0.009,0.0028,0.0121,0.0421,0.0946
"KEI_05082020093546645 - Industrial production, s.a. - AUT - M - Growth on the same period of the previous year - Percentage",Trend,0.2255,0.0024,0.0074,0.0097,0.0015,0.0025,0.0014,0.0003
"KEI_05082020093546645 - Industrial production, s.a. - CZE - M - Growth previous period - Percentage",Trend,0.0853,0.0,0.0015,0.0011,0.0006,0.0001,0.0003,0.0002
"KEI_05082020093546645 - Industrial production, s.a. - CZE - M - Level, ratio or index - Index",Trend,0.042,0.0011,0.0035,0.0152,0.0009,0.0003,0.0012,0.0001
"KEI_05082020093546645 - Industrial production, s.a. - DNK - M - Growth on the same period of the previous year - Percentage",Trend,0.0374,0.0351,0.3388,0.1324,0.1497,0.4935,0.6425,0.7654
"KEI_05082020093546645 - Industrial production, s.a. - FIN - M - Growth on the same period of the previous year - Percentage",Trend,0.0432,0.0139,0.0237,0.0043,0.0003,0.0033,0.0003,0.0023
"KEI_05082020093546645 - Industrial production, s.a. - GBR - M - Level, ratio or index - Index",Trend,0.0084,0.0611,0.0009,0.0124,0.0181,0.0806,0.1858,0.1672
"KEI_05082020093546645 - Industrial production, s.a. - GRC - M - Growth on the same period of the previous year - Percentage",Trend,0.0261,0.0049,0.0355,0.0249,0.0009,0.0153,0.0106,0.0128
"KEI_05082020093546645 - Industrial production, s.a. - ISR - M - Growth on the same period of the previous year - Percentage",Trend,0.0001,0.0001,0.0391,0.0151,0.0069,0.0356,0.0135,0.0442
"KEI_05082020093546645 - Industrial production, s.a. - JPN - M - Growth on the same period of the previous year - Percentage",Trend,0.2355,0.0075,0.0509,0.0265,0.016,0.0846,0.13,0.1257
"KEI_05082020093546645 - Industrial production, s.a. - LUX - M - Growth on the same period of the previous year - Percentage",Trend,0.0006,0.0888,0.2176,0.0637,0.1302,0.2313,0.3809,0.7409
"KEI_05082020093546645 - Industrial production, s.a. - LVA - M - Growth on the same period of the previous year - Percentage",Trend,0.2427,0.0328,0.0323,0.0629,0.0268,0.1059,0.0997,0.1156
"KEI_05082020093546645 - Industrial production, s.a. - LVA - M - Level, ratio or index - Index",Trend,0.1708,0.0962,0.024,0.0632,0.0376,0.2487,0.301,0.3439
"KEI_05082020093546645 - Long-term interest rate - ISR - M - Level, ratio or index - Percentage",Trend,0.0225,0.0529,0.0101,0.0294,0.0272,0.0282,0.0155,0.0928
"KEI_05082020093546645 - Long-term interest rate - LTU - M - Level, ratio or index - Percentage",Trend,0.0514,0.0128,0.055,0.0018,0.0012,0.0142,0.0031,0.0213
"KEI_05082020093546645 - Long-term interest rate - MEX - M - Level, ratio or index - Percentage",Trend,0.0023,0.0107,0.0699,0.0624,0.087,0.1269,0.2287,0.4167
"KEI_05082020093546645 - Manufacturing - Confidence indicator, s.a. - LUX - M - Level, ratio or index - Percentage",Trend,0.0045,0.0,0.0232,0.0122,0.0144,0.1005,0.1209,0.2016
"KEI_05082020093546645 - Narrow money, s.a. - ISR - M - Growth previous period - Percentage",Trend,0.2087,0.0,0.0001,0.0016,0.0034,0.0008,0.0008,0.0029
"KEI_05082020093546645 - Narrow money, s.a. - JPN - M - Growth previous period - Percentage",Trend,0.0046,0.1288,0.1022,0.1957,0.1536,0.0397,0.0245,0.1117
"KEI_05082020093546645 - Narrow money, s.a. - JPN - M - Level, ratio or index - Index",Trend,0.1463,0.0859,0.0285,0.0244,0.0473,0.0324,0.0092,0.0255
"KEI_05082020093546645 - Narrow money, s.a. - OECDE - M - Growth previous period - Percentage",Trend,0.0806,0.0058,0.021,0.0242,0.11,0.1863,0.1208,0.0851
"KEI_05082020093546645 - Overnight interbank rate - DNK - M - Level, ratio or index - Percentage",Trend,0.0091,0.0002,0.0285,0.011,0.0185,0.0216,0.0725,0.1139
"KEI_05082020093546645 - Overnight interbank rate - JPN - M - Level, ratio or index - Percentage",Trend,0.0222,0.0527,0.2328,0.0118,0.0203,0.0279,0.0466,0.1515
"KEI_05082020093546645 - Passenger car registrations, s.a. - CHE - M - Growth previous period - Percentage",Trend,0.1638,0.0,0.017,0.026,0.0211,0.147,0.0599,0.0493
"KEI_05082020093546645 - Passenger car registrations, s.a. - CHE - M - Level, ratio or index - Index",Trend,0.1479,0.0009,0.0013,0.0039,0.0048,0.0624,0.0306,0.0252
"KEI_05082020093546645 - Passenger car registrations, s.a. - CHL - M - Growth previous period - Percentage",Trend,0.0014,0.0012,0.0268,0.0271,0.0025,0.0214,0.0191,0.0168
"KEI_05082020093546645 - Passenger car registrations, s.a. - CHL - M - Level, ratio or index - Index",Trend,0.0095,0.0021,0.0261,0.0378,0.0051,0.028,0.0733,0.0607
"KEI_05082020093546645 - Passenger car registrations, s.a. - ESP - M - Growth on the same period of the previous year - Percentage",Trend,0.019,0.0034,0.0406,0.0501,0.0042,0.0195,0.0699,0.0784
"KEI_05082020093546645 - Passenger car registrations, s.a. - HUN - M - Growth previous period - Percentage",Trend,0.0371,0.2165,0.0644,0.0311,0.0376,0.071,0.0503,0.1007
"KEI_05082020093546645 - Passenger car registrations, s.a. - LVA - M - Growth on the same period of the previous year - Percentage",Trend,0.0869,0.0025,0.0976,0.009,0.0261,0.2243,0.5118,0.4709
"KEI_05082020093546645 - Passenger car registrations, s.a. - LVA - M - Growth previous period - Percentage",Trend,0.0921,0.0015,0.1512,0.0201,0.016,0.1213,0.4436,0.2676
"KEI_05082020093546645 - Passenger car registrations, s.a. - TUR - M - Growth on the same period of the previous year - Percentage",Trend,0.013,0.0029,0.0416,0.017,0.0589,0.0943,0.1251,0.0849
"KEI_05082020093546645 - Passenger car registrations, s.a. - TUR - M - Growth previous period - Percentage",Trend,0.0029,0.0148,0.0298,0.2434,0.1433,0.0294,0.0755,0.2659
"KEI_05082020093546645 - Passenger car registrations, s.a. - USA - M - Growth previous period - Percentage",Trend,0.3358,0.0013,0.0248,0.0058,0.0014,0.0082,0.0215,0.0472
"KEI_05082020093546645 - Passenger car registrations, s.a. - USA - M - Level, ratio or index - Index",Trend,0.1801,0.0019,0.0177,0.0028,0.0003,0.0005,0.0065,0.0104
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - DNK - M - Growth previous period - Percentage",Trend,0.0002,0.0,0.0007,0.0017,0.0,0.0005,0.0003,0.0006
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - KOR - M - Growth on the same period of the previous year - Percentage",Trend,0.0143,0.0026,0.0839,0.0114,0.0036,0.0111,0.007,0.004
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - KOR - M - Growth previous period - Percentage",Trend,0.0003,0.0006,0.0035,0.0115,0.0073,0.013,0.01,0.0057
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - KOR - M - Level, ratio or index - Index",Trend,0.0022,0.0026,0.0387,0.0058,0.0005,0.0028,0.0008,0.0013
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - NOR - M - Growth previous period - Percentage",Trend,0.0768,0.06,0.1474,0.0081,0.016,0.0526,0.0532,0.1767
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - SWE - M - Growth previous period - Percentage",Trend,0.0234,0.0039,0.1741,0.0499,0.0375,0.0868,0.0701,0.1077
"KEI_05082020093546645 - Permits issued for dwellings, s.a. - SWE - M - Level, ratio or index - Index",Trend,0.0357,0.0045,0.1845,0.0712,0.0439,0.0899,0.1161,0.0916
KEI_05082020093546645 - Producer prices - Manufacturing  - DNK - M - Growth previous period - Percentage,Trend,0.0611,0.0195,0.0486,0.0105,0.0073,0.0017,0.0212,0.0977
"KEI_05082020093546645 - Producer prices - Manufacturing  - DNK - M - Level, ratio or index - Index",Trend,0.1043,0.2845,0.2496,0.0158,0.0092,0.0016,0.0197,0.0579
KEI_05082020093546645 - Producer prices - Manufacturing  - FIN - M - Growth on the same period of the previous year - Percentage,Trend,0.8178,0.1207,0.0864,0.0463,0.0678,0.0022,0.0035,0.0095
KEI_05082020093546645 - Producer prices - Manufacturing  - FIN - M - Growth previous period - Percentage,Trend,0.3715,0.0017,0.0126,0.0001,0.0,0.0,0.0002,0.0036
