X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Crude Oil WTI Futures Historical Data_Price,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Open,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_High,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Low,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Change %,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Price,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Open,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_High,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Low,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Change %,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Price,Trend,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0,0.0006
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Open,Trend,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0,0.0006
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_High,Trend,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0,0.0006
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Low,Trend,0.0,0.0,0.0,0.0,0.0006,0.0003,0.0,0.0006
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Change %,Trend,0.0,0.0002,0.0001,0.0008,0.001,0.0008,0.0002,0.0067
DCOILBRENTEU_DCOILBRENTEU,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Others - Naphtha_x,Trend,0.0,0.0,0.0,0.0011,0.0001,0.0,0.0001,0.0023
Others - Gasoline 92 unl,Trend,0.0,0.0,0.0,0.0681,0.011,0.0019,0.001,0.0095
Others - Jet Kero,Trend,0.0,0.0,0.0,0.003,0.0012,0.0002,0.0001,0.0023
Others - Gasoil 500 ppm,Trend,0.0,0.0,0.0,0.0008,0.0001,0.0,0.0,0.0001
Others - WTI 1st,Trend,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0
Others - WTI 2nd,Trend,0.0,0.0,0.0,0.0068,0.0002,0.0002,0.0001,0.0001
Others - WTI 3rd,Trend,0.0,0.0,0.0,0.0086,0.0002,0.0002,0.0001,0.0001
Others - Dated Brent,Trend,0.0,0.0,0.0,0.0053,0.0002,0.0003,0.0001,0.0001
Others - ICE Brent 1st,Trend,0.0,0.0,0.0,0.0055,0.0002,0.0001,0.0001,0.0001
Others - ICE Brent 2nd,Trend,0.0,0.0,0.0,0.0195,0.0014,0.0008,0.0019,0.0005
Others - ICE Brent 3rd,Trend,0.0,0.0,0.0,0.0204,0.0013,0.0009,0.002,0.0005
Others - DME Oman at Singapore MOC Mo01,Trend,0.0,0.0,0.0,0.0156,0.003,0.0025,0.0028,0.0168
Others - Oman,Trend,0.0,0.0,0.0,0.0118,0.0042,0.001,0.0013,0.0118
Others - Dubai 1st,Trend,0.0,0.0,0.0,0.0095,0.0045,0.0013,0.0015,0.0112
Others - Dubai 2nd,Trend,0.0,0.0,0.0,0.005,0.0017,0.0004,0.0003,0.0033
Others - Dubai 3rd,Trend,0.0,0.0,0.0,0.0048,0.0012,0.0002,0.0002,0.0027
Others - IFO 380 cST SG,Trend,0.0,0.0004,0.0071,0.0291,0.0297,0.0197,0.0455,0.4135
Others - IFO 380 cST FJ,Trend,0.0,0.0,0.0022,0.0254,0.0516,0.052,0.0766,0.4061
Others - Reuters EFS 2mo Asia Cls,Trend,0.02,0.0261,0.0672,0.4644,0.3964,0.6774,0.7291,0.5724
Others - ICE Brent Asia Close 1st (ICE Brent at Singapore MOC Mo01),Trend,0.0,0.0,0.0,0.0017,0.0003,0.0,0.0,0.0004
Others - ICE Brent Asia Close 2nd,Trend,0.0,0.0,0.0,0.0012,0.0002,0.0,0.0,0.0004
Others - DQL EFS 2nd,Trend,0.0233,0.0244,0.0133,0.2919,0.2722,0.563,0.5942,0.3298
Others - IRAQ PRODUCTION,Trend,0.009,0.03,0.0714,0.0672,0.024,0.1868,0.0583,0.2158
Others - Reuters Dubai Swap 1st (Asia Cls),Trend,0.0,0.0,0.0,0.0187,0.0028,0.0016,0.0027,0.0047
Others - Reuters Dubai Swap 2nd (Asia Cls),Trend,0.0,0.0001,0.0001,0.0627,0.0219,0.018,0.0398,0.0869
Others - Average O/D,Trend,0.0,0.0,0.0,0.0103,0.0043,0.0011,0.0014,0.0114
Others - Gasoil 10 ppm,Trend,0.0,0.0,0.0,0.0004,0.0001,0.0,0.0,0.0001
Others - Naphtha_y,Trend,0.0,0.0,0.0,0.0011,0.0001,0.0,0.0001,0.0023
Others - GASOIL 10ppm,Trend,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0001
