X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Crude Oil WTI Futures Historical Data_Price,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Open,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_High,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Low,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Change %,Trend,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Price,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Open,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_High,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Low,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Change %,Trend,0.0,0.0001,0.0041,0.0,0.0,0.0,0.0,0.0
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Price,Trend,0.0001,0.0026,0.0,0.0123,0.0158,0.0105,0.0,0.0209
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Open,Trend,0.0001,0.0026,0.0,0.0123,0.0158,0.0105,0.0,0.0209
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_High,Trend,0.0001,0.0026,0.0,0.0123,0.0158,0.0105,0.0,0.0209
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Low,Trend,0.0001,0.0026,0.0,0.0123,0.0158,0.0105,0.0,0.0209
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Change %,Trend,0.0643,0.0351,0.1333,0.0101,0.0059,0.0168,0.0044,0.0982
DCOILBRENTEU_DCOILBRENTEU,Trend,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
Others - Naphtha_x,Trend,0.0001,0.002,0.0006,0.0373,0.0083,0.0113,0.0053,0.0659
Others - Gasoline 92 unl,Trend,0.021,0.0452,0.0006,0.3388,0.0837,0.0606,0.005,0.0662
Others - Jet Kero,Trend,0.0002,0.002,0.0,0.0141,0.0064,0.0043,0.0001,0.0103
Others - Gasoil 500 ppm,Trend,0.0023,0.0009,0.0,0.0131,0.007,0.0035,0.0001,0.0027
Others - WTI 1st,Trend,0.0,0.0109,0.0,0.0001,0.0001,0.0001,0.0,0.0
Others - WTI 2nd,Trend,0.0,0.0051,0.0,0.0001,0.0008,0.0018,0.0,0.0002
Others - WTI 3rd,Trend,0.0,0.0049,0.0,0.0003,0.001,0.0021,0.0,0.0002
Others - Dated Brent,Trend,0.0,0.0037,0.0,0.0016,0.0019,0.0059,0.0,0.0014
Others - ICE Brent 1st,Trend,0.0,0.0152,0.0,0.0031,0.0017,0.0026,0.0,0.0003
Others - ICE Brent 2nd,Trend,0.0,0.0115,0.0,0.003,0.0022,0.01,0.0002,0.0011
Others - ICE Brent 3rd,Trend,0.0,0.0099,0.0,0.0027,0.0021,0.0105,0.0002,0.001
Others - DME Oman at Singapore MOC Mo01,Trend,0.0056,0.0527,0.0025,0.0432,0.0351,0.0849,0.0051,0.1128
Others - Oman,Trend,0.0008,0.0103,0.0,0.0463,0.0151,0.0393,0.0006,0.0298
Others - Dubai 1st,Trend,0.0008,0.0107,0.0,0.0435,0.0191,0.0449,0.0005,0.0301
Others - Dubai 2nd,Trend,0.0004,0.013,0.0,0.0396,0.0123,0.0205,0.0002,0.0118
Others - Dubai 3rd,Trend,0.0006,0.0113,0.0,0.0358,0.0107,0.0173,0.0002,0.0117
Others - IFO 380 cST SG,Trend,0.1556,0.091,0.3082,0.4661,0.2019,0.22,0.5452,0.5274
Others - ICE Brent Asia Close 1st (ICE Brent at Singapore MOC Mo01),Trend,0.0001,0.0037,0.0,0.0098,0.0017,0.0026,0.0,0.0043
Others - ICE Brent Asia Close 2nd,Trend,0.0001,0.0033,0.0,0.0092,0.0021,0.0035,0.0,0.0032
Others - Reuters Dubai Swap 1st (Asia Cls),Trend,0.0001,0.0232,0.0001,0.0189,0.029,0.0507,0.0017,0.0553
Others - Reuters Dubai Swap 2nd (Asia Cls),Trend,0.0023,0.0869,0.0006,0.0581,0.1521,0.2669,0.0529,0.3111
Others - Average O/D,Trend,0.0008,0.0103,0.0,0.0444,0.0168,0.0417,0.0005,0.0297
Others - Gasoil 10 ppm,Trend,0.0031,0.0008,0.0,0.0156,0.0076,0.0041,0.0001,0.0053
Others - Naphtha_y,Trend,0.0001,0.002,0.0006,0.0373,0.0083,0.0113,0.0053,0.0659
Others - GASOIL 10ppm,Trend,0.0024,0.0005,0.0,0.0092,0.0053,0.003,0.0001,0.0037
Others - JET KEROSENE,Trend,0.0002,0.002,0.0,0.0141,0.0064,0.0043,0.0001,0.0103
"KEI_05082020093546645 - 3 month interbank rate - CHE - M - Level, ratio or index - Percentage",Trend,0.0001,0.0002,0.0246,0.0095,0.0042,0.0084,0.0371,0.1955
