X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Crude Oil WTI Futures Historical Data_Price,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Open,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_High,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Low,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude Oil WTI Futures Historical Data_Change %,Trend,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Price,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Open,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_High,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Low,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Oil Futures Historical Data_Change %,Trend,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Price,Trend,0.0006,0.0,0.0,0.0001,0.0005,0.0008,0.0004,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Open,Trend,0.0006,0.0,0.0,0.0001,0.0005,0.0008,0.0004,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_High,Trend,0.0006,0.0,0.0,0.0001,0.0005,0.0008,0.0004,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Low,Trend,0.0006,0.0,0.0,0.0001,0.0005,0.0008,0.0004,0.0005
Dubai Crude Oil (Platts) Financial Futures Historical Data - Price_Change %,Trend,0.2972,0.0006,0.0007,0.0085,0.0004,0.0071,0.0004,0.0018
DCOILBRENTEU_DCOILBRENTEU,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Others - Naphtha_x,Trend,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0002
Others - Gasoline 92 unl,Trend,0.0002,0.0,0.0,0.0095,0.0152,0.0204,0.0105,0.0233
Others - Jet Kero,Trend,0.0,0.0,0.0,0.001,0.0007,0.0022,0.0035,0.0102
Others - Gasoil 500 ppm,Trend,0.0,0.0,0.0,0.0002,0.0002,0.0008,0.0002,0.0015
Others - WTI 1st,Trend,0.0,0.0,0.0,0.0006,0.0006,0.0008,0.0001,0.0
Others - WTI 2nd,Trend,0.0,0.0,0.0,0.0028,0.0005,0.0008,0.0002,0.0002
Others - WTI 3rd,Trend,0.0,0.0,0.0,0.0024,0.0008,0.0011,0.0002,0.0002
Others - Dated Brent,Trend,0.0,0.0,0.0,0.0028,0.0011,0.0017,0.0005,0.0003
Others - ICE Brent 1st,Trend,0.0,0.0,0.0,0.0006,0.001,0.0031,0.0012,0.0003
Others - ICE Brent 2nd,Trend,0.0,0.0,0.0,0.0287,0.0071,0.0104,0.0056,0.0017
Others - ICE Brent 3rd,Trend,0.0,0.0,0.0,0.0276,0.0072,0.0114,0.0056,0.0018
Others - DME Oman at Singapore MOC Mo01,Trend,0.0025,0.0001,0.0,0.0183,0.0206,0.0202,0.047,0.0747
Others - Oman,Trend,0.0,0.0,0.0,0.0082,0.006,0.0144,0.0293,0.0256
Others - Dubai 1st,Trend,0.0001,0.0,0.0,0.0053,0.0059,0.0116,0.0305,0.04
Others - Dubai 2nd,Trend,0.0,0.0,0.0,0.0036,0.0041,0.0086,0.0156,0.0183
Others - Dubai 3rd,Trend,0.0,0.0,0.0,0.0027,0.0028,0.0068,0.01,0.0141
Others - IFO 380 cST SG,Trend,0.0048,0.0,0.0008,0.0046,0.0094,0.0464,0.036,0.0202
Others - IFO 380 cST FJ,Trend,0.0001,0.0,0.0,0.0039,0.0195,0.1099,0.1019,0.1157
Others - Reuters EFS 2mo Asia Cls,Trend,0.0007,0.0001,0.0026,0.0083,0.0063,0.0324,0.0395,0.1096
Others - Reuters EFS 3mo Asia Cls,Trend,0.0039,0.0007,0.0194,0.0883,0.0415,0.1103,0.1172,0.2075
Others - ICE Brent Asia Close 1st (ICE Brent at Singapore MOC Mo01),Trend,0.0,0.0,0.0,0.0016,0.0004,0.0018,0.0021,0.003
Others - ICE Brent Asia Close 2nd,Trend,0.0,0.0,0.0,0.001,0.0004,0.0016,0.0018,0.0029
Others - DQL EFS 2nd,Trend,0.0089,0.0008,0.0044,0.0235,0.0038,0.0157,0.0516,0.146
Others - IRAQ PRODUCTION,Trend,0.0367,0.0117,0.0355,0.0041,0.0011,0.0264,0.0429,0.0599
Others - Reuters Dubai Swap 1st (Asia Cls),Trend,0.0,0.0,0.0,0.0031,0.0112,0.0063,0.0096,0.0176
Others - Reuters Dubai Swap 2nd (Asia Cls),Trend,0.0,0.0,0.0,0.025,0.0754,0.0455,0.0682,0.1549
Others - Reuters Dubai Swap 3rd (Asia Cls),Trend,0.0,0.0,0.0,0.0413,0.0811,0.0512,0.0582,0.1021
Others - Average O/D,Trend,0.0,0.0,0.0,0.0064,0.0058,0.0127,0.0297,0.0319
