X (Cause),Y (Effect),Lag 7,Lag 14,Lag 21,Lag 28,Lag 35,Lag 42,Lag 49,Lag 56
Others - Gasoil 10 ppm,Trend,0.0,0.0,0.0,0.0002,0.0001,0.0005,0.0002,0.0016
Others - Naphtha_y,Trend,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0002
Others - GASOIL 10ppm,Trend,0.0,0.0,0.0,0.0003,0.0001,0.0004,0.0001,0.001
Others - JET KEROSENE,Trend,0.0,0.0,0.0,0.001,0.0007,0.0022,0.0035,0.0102
POILDUBUSDM - POILDUBUSDM,Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KEI_05082020093546645 - 3 month interbank rate - CHE - M - Level, ratio or index - Percentage",Trend,0.0001,0.0167,0.0358,0.0004,0.0001,0.003,0.0033,0.0087
"KEI_05082020093546645 - 3 month interbank rate - CHL - M - Level, ratio or index - Percentage",Trend,0.109,0.015,0.0847,0.0221,0.0133,0.0466,0.1183,0.0352
"KEI_05082020093546645 - 3 month interbank rate - CHN - M - Level, ratio or index - Percentage",Trend,0.7871,0.1379,0.2441,0.1878,0.0333,0.0662,0.1173,0.2721
"KEI_05082020093546645 - 3 month interbank rate - DNK - M - Level, ratio or index - Percentage",Trend,0.1371,0.1029,0.234,0.019,0.0517,0.0164,0.157,0.0564
"KEI_05082020093546645 - 3 month interbank rate - ISL - M - Level, ratio or index - Percentage",Trend,0.0432,0.0657,0.2218,0.036,0.1969,0.2591,0.5238,0.2783
"KEI_05082020093546645 - 3 month interbank rate - JPN - M - Level, ratio or index - Percentage",Trend,0.0763,0.1949,0.1586,0.0173,0.007,0.0484,0.0557,0.1529
"KEI_05082020093546645 - 3 month interbank rate - NOR - M - Level, ratio or index - Percentage",Trend,0.5217,0.4033,0.2008,0.0339,0.0106,0.0756,0.1314,0.0965
"KEI_05082020093546645 - 3 month interbank rate - POL - M - Level, ratio or index - Percentage",Trend,0.0662,0.054,0.3164,0.1378,0.1455,0.1069,0.0223,0.0329
"KEI_05082020093546645 - 3 month interbank rate - RUS - M - Level, ratio or index - Percentage",Trend,0.0341,0.0719,0.1546,0.006,0.0011,0.0104,0.0005,0.0006
"KEI_05082020093546645 - Broad money, s.a. - CHE - M - Level, ratio or index - Index",Trend,0.0793,0.0006,0.0125,0.0533,0.0764,0.1033,0.1064,0.0332
"KEI_05082020093546645 - Broad money, s.a. - CHL - M - Level, ratio or index - Index",Trend,0.1945,0.0054,0.0081,0.0223,0.0041,0.0176,0.0355,0.0171
"KEI_05082020093546645 - Broad money, s.a. - CHN - M - Growth on the same period of the previous year - Percentage",Trend,0.2151,0.1226,0.1076,0.0009,0.0039,0.0303,0.06,0.1982
"KEI_05082020093546645 - Broad money, s.a. - JPN - M - Growth on the same period of the previous year - Percentage",Trend,0.2257,0.0011,0.062,0.001,0.0016,0.0029,0.0066,0.0438
"KEI_05082020093546645 - Broad money, s.a. - JPN - M - Growth previous period - Percentage",Trend,0.1293,0.0468,0.0659,0.0017,0.0169,0.0358,0.0344,0.1698
"KEI_05082020093546645 - Broad money, s.a. - MEX - M - Growth previous period - Percentage",Trend,0.0667,0.1748,0.1613,0.1666,0.1739,0.5146,0.7102,0.4472
"KEI_05082020093546645 - Broad money, s.a. - NZL - M - Growth previous period - Percentage",Trend,0.0103,0.0065,0.1984,0.0331,0.0755,0.1866,0.3071,0.1684
"KEI_05082020093546645 - Broad money, s.a. - OECD - M - Growth previous period - Percentage",Trend,0.1651,0.0186,0.0334,0.0175,0.0061,0.0053,0.0333,0.035
"KEI_05082020093546645 - Broad money, s.a. - SWE - M - Growth on the same period of the previous year - Percentage",Trend,0.0,0.0035,0.0438,0.0545,0.2253,0.3418,0.4483,0.2622
"KEI_05082020093546645 - Broad money, s.a. - USA - M - Growth previous period - Percentage",Trend,0.1117,0.017,0.0883,0.0228,0.0004,0.0002,0.0008,0.0062
"KEI_05082020093546645 - Broad money, s.a. - USA - M - Level, ratio or index - Index",Trend,0.0264,0.0071,0.037,0.1174,0.0681,0.0143,0.0348,0.0475
"KEI_05082020093546645 - Construction, s.a. - CAN - M - Growth previous period - Percentage",Trend,0.0027,0.0006,0.012,0.0136,0.0069,0.0706,0.0621,0.1589
"KEI_05082020093546645 - Construction, s.a. - CAN - M - Level, ratio or index - Index",Trend,0.1043,0.0153,0.0466,0.0479,0.0332,0.3469,0.2765,0.3373
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Growth on the same period of the previous year - Percentage",Trend,0.0324,0.0099,0.065,0.0602,0.0041,0.0094,0.0035,0.0001
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Growth previous period - Percentage",Trend,0.0022,0.0014,0.0035,0.0055,0.0064,0.0938,0.1022,0.0066
"KEI_05082020093546645 - Construction, s.a. - CZE - M - Level, ratio or index - Index",Trend,0.003,0.0005,0.0071,0.0019,0.0043,0.0256,0.019,0.0017
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Growth previous period - Percentage",Trend,0.1243,0.1202,0.265,0.0195,0.0011,0.0185,0.0068,0.0141
"KEI_05082020093546645 - Construction, s.a. - G-7 - M - Level, ratio or index - Index",Trend,0.041,0.1278,0.148,0.0018,0.0001,0.0001,0.0001,0.0009
"KEI_05082020093546645 - Construction, s.a. - JPN - M - Growth on the same period of the previous year - Percentage",Trend,0.0002,0.0043,0.0114,0.0178,0.0068,0.0046,0.019,0.0026
"KEI_05082020093546645 - Construction, s.a. - KOR - M - Growth on the same period of the previous year - Percentage",Trend,0.0221,0.0158,0.0319,0.0191,0.0532,0.2429,0.547,0.2288
"KEI_05082020093546645 - Construction, s.a. - KOR - M - Level, ratio or index - Index",Trend,0.0422,0.1194,0.0541,0.0014,0.0045,0.016,0.1329,0.1282
"KEI_05082020093546645 - Construction, s.a. - OECD - M - Growth on the same period of the previous year - Percentage",Trend,0.2189,0.1258,0.2725,0.0689,0.0053,0.0401,0.0397,0.1685
"KEI_05082020093546645 - Construction, s.a. - OECD - M - Growth previous period - Percentage",Trend,0.2339,0.5365,0.6302,0.0296,0.0079,0.0694,0.053,0.0561
"KEI_05082020093546645 - Construction, s.a. - OECD - M - Level, ratio or index - Index",Trend,0.0893,0.3083,0.3412,0.0032,0.0009,0.0032,0.0108,0.0228
"KEI_05082020093546645 - Construction, s.a. - PRT - M - Growth on the same period of the previous year - Percentage",Trend,0.6611,0.051,0.0306,0.0005,0.0036,0.0022,0.0047,0.0018
"KEI_05082020093546645 - Construction, s.a. - TUR - M - Level, ratio or index - Index",Trend,0.0264,0.5256,0.6511,0.0647,0.064,0.1738,0.2565,0.0966
"KEI_05082020093546645 - Construction, s.a. - USA - M - Growth previous period - Percentage",Trend,0.0012,0.0064,0.0559,0.0196,0.0001,0.0037,0.0234,0.0317
"KEI_05082020093546645 - Construction, s.a. - USA - M - Level, ratio or index - Index",Trend,0.0008,0.028,0.1881,0.0312,0.0006,0.001,0.0072,0.0349
"KEI_05082020093546645 - Consumer confidence indicator, s.a. - COL - M - Level, ratio or index - Percentage",Trend,0.0077,0.0023,0.0019,0.0039,0.0042,0.0025,0.02,0.0163
"KEI_05082020093546645 - Consumer confidence indicator, s.a. - GRC - M - Level, ratio or index - Percentage",Trend,0.0368,0.1099,0.006,0.0017,0.0067,0.0163,0.0928,0.0372
"KEI_05082020093546645 - Consumer confidence indicator, s.a. - LVA - M - Level, ratio or index - Percentage",Trend,0.0113,0.0665,0.2416,0.0368,0.0087,0.0066,0.0054,0.0166
"KEI_05082020093546645 - Consumer confidence indicator, s.a. - MEX - M - Level, ratio or index - Percentage",Trend,0.3059,0.3737,0.0972,0.0217,0.0132,0.0185,0.0262,0.0047
KEI_05082020093546645 - Consumer prices: all items - BEL - M - Growth previous period - Percentage,Trend,0.0203,0.0241,0.0228,0.0406,0.0713,0.0148,0.0107,0.0088
"KEI_05082020093546645 - Consumer prices: all items - BEL - M - Level, ratio or index - Index",Trend,0.0335,0.0946,0.0542,0.1856,0.187,0.1383,0.0951,0.1092
KEI_05082020093546645 - Consumer prices: all items - DEU - M - Growth on the same period of the previous year - Percentage,Trend,0.0,0.0,0.0011,0.0008,0.0014,0.0096,0.0344,0.0516
KEI_05082020093546645 - Consumer prices: all items - ESP - M - Growth on the same period of the previous year - Percentage,Trend,0.0028,0.0055,0.0866,0.0364,0.0507,0.0726,0.1742,0.0631
KEI_05082020093546645 - Consumer prices: all items - ESP - M - Growth previous period - Percentage,Trend,0.0773,0.0177,0.0014,0.001,0.0004,0.0044,0.0077,0.0259
"KEI_05082020093546645 - Consumer prices: all items - ESP - M - Level, ratio or index - Index",Trend,0.111,0.0758,0.0082,0.0021,0.0006,0.0005,0.0018,0.0093
KEI_05082020093546645 - Consumer prices: all items - EU28 - M - Growth on the same period of the previous year - Percentage,Trend,0.0001,0.0003,0.0013,0.0191,0.0096,0.0536,0.0718,0.0985
KEI_05082020093546645 - Consumer prices: all items - G-20 - M - Growth previous period - Percentage,Trend,0.019,0.1174,0.0001,0.0053,0.0016,0.0033,0.0134,0.0022
"KEI_05082020093546645 - Consumer prices: all items - G-20 - M - Level, ratio or index - Index",Trend,0.0019,0.0584,0.0021,0.0523,0.0323,0.0405,0.0401,0.0132
KEI_05082020093546645 - Consumer prices: all items - G-7 - M - Growth on the same period of the previous year - Percentage,Trend,0.0,0.0,0.0058,0.006,0.0199,0.0932,0.1646,0.0707
KEI_05082020093546645 - Consumer prices: all items - G-7 - M - Growth previous period - Percentage,Trend,0.0002,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0006
"KEI_05082020093546645 - Consumer prices: all items - G-7 - M - Level, ratio or index - Index",Trend,0.0,0.0,0.0,0.0003,0.0011,0.0064,0.0095,0.0096
KEI_05082020093546645 - Consumer prices: all items - HUN - M - Growth previous period - Percentage,Trend,0.0,0.0006,0.0,0.0018,0.0028,0.0068,0.0072,0.0182
"KEI_05082020093546645 - Consumer prices: all items - HUN - M - Level, ratio or index - Index",Trend,0.0,0.0001,0.0001,0.0004,0.0012,0.0023,0.0017,0.0034
KEI_05082020093546645 - Consumer prices: all items - ITA - M - Growth previous period - Percentage,Trend,0.0859,0.0046,0.0008,0.0007,0.0003,0.0001,0.0,0.0003
"KEI_05082020093546645 - Consumer prices: all items - ITA - M - Level, ratio or index - Index",Trend,0.0906,0.0132,0.0206,0.0141,0.0251,0.0342,0.003,0.0085
KEI_05082020093546645 - Consumer prices: all items - JPN - M - Growth on the same period of the previous year - Percentage,Trend,0.018,0.056,0.0085,0.0229,0.0265,0.0986,0.2832,0.1504
KEI_05082020093546645 - Consumer prices: all items - JPN - M - Growth previous period - Percentage,Trend,0.0444,0.0165,0.0004,0.0138,0.0036,0.0078,0.0026,0.0013
"KEI_05082020093546645 - Consumer prices: all items - JPN - M - Level, ratio or index - Index",Trend,0.0116,0.0017,0.0,0.0001,0.0002,0.0003,0.0008,0.0011
KEI_05082020093546645 - Consumer prices: all items - KOR - M - Growth on the same period of the previous year - Percentage,Trend,0.0155,0.0263,0.0012,0.0,0.0,0.0005,0.0032,0.0223
KEI_05082020093546645 - Consumer prices: all items - KOR - M - Growth previous period - Percentage,Trend,0.0485,0.1317,0.0594,0.0256,0.0135,0.0479,0.0328,0.1787
"KEI_05082020093546645 - Consumer prices: all items - KOR - M - Level, ratio or index - Index",Trend,0.1184,0.3774,0.1057,0.0996,0.0256,0.1111,0.1441,0.3147
KEI_05082020093546645 - Consumer prices: all items - LVA - M - Growth on the same period of the previous year - Percentage,Trend,0.2821,0.0404,0.013,0.0002,0.0,0.0001,0.0003,0.0079
KEI_05082020093546645 - Consumer prices: all items - OECD - M - Growth previous period - Percentage,Trend,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0004
"KEI_05082020093546645 - Consumer prices: all items - OECD - M - Level, ratio or index - Index",Trend,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0003,0.0004
KEI_05082020093546645 - Consumer prices: all items - OECDE - M - Growth previous period - Percentage,Trend,0.056,0.0019,0.0014,0.003,0.0004,0.0004,0.0013,0.042
"KEI_05082020093546645 - Consumer prices: all items - OECDE - M - Level, ratio or index - Index",Trend,0.01,0.001,0.0047,0.0004,0.0,0.0,0.0002,0.0008
KEI_05082020093546645 - Consumer prices: all items - POL - M - Growth previous period - Percentage,Trend,0.0001,0.0005,0.0018,0.0279,0.0381,0.1555,0.0696,0.1878
"KEI_05082020093546645 - Consumer prices: all items - POL - M - Level, ratio or index - Index",Trend,0.0,0.0004,0.002,0.0062,0.0039,0.0144,0.0137,0.0582
KEI_05082020093546645 - Consumer prices: all items - SVK - M - Growth previous period - Percentage,Trend,0.0004,0.0003,0.0,0.0003,0.0024,0.0093,0.0031,0.0789
"KEI_05082020093546645 - Consumer prices: all items - SVK - M - Level, ratio or index - Index",Trend,0.0001,0.0002,0.0019,0.0008,0.0069,0.0216,0.017,0.1664
KEI_05082020093546645 - Consumer prices: all items - SVN - M - Growth on the same period of the previous year - Percentage,Trend,0.0001,0.0066,0.043,0.0074,0.0192,0.1151,0.0801,0.0741
KEI_05082020093546645 - Consumer prices: all items - TUR - M - Growth previous period - Percentage,Trend,0.0032,0.0016,0.0032,0.089,0.1254,0.0409,0.0413,0.0333
"KEI_05082020093546645 - Consumer prices: all items - TUR - M - Level, ratio or index - Index",Trend,0.0081,0.0054,0.0269,0.0144,0.0158,0.0044,0.0227,0.0145
KEI_05082020093546645 - Consumer prices: all items - USA - M - Growth on the same period of the previous year - Percentage,Trend,0.0,0.0012,0.1212,0.0102,0.0195,0.0817,0.0926,0.0889
KEI_05082020093546645 - Consumer prices: all items - USA - M - Growth previous period - Percentage,Trend,0.0,0.0009,0.0001,0.0038,0.0108,0.0674,0.103,0.1398
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - COL - M - Level, ratio or index - Colombian Peso",Trend,0.0,0.0024,0.0091,0.0283,0.1258,0.1708,0.1245,0.3652
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - CZE - M - Level, ratio or index - Czech Koruna",Trend,0.1132,0.1306,0.073,0.0168,0.1274,0.2218,0.5535,0.4229
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - GBR - M - Level, ratio or index - Pound Sterling",Trend,0.0002,0.0017,0.0031,0.0049,0.063,0.1203,0.171,0.1086
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - HUN - M - Level, ratio or index - Forint",Trend,0.0597,0.0765,0.0128,0.0122,0.0484,0.0692,0.148,0.1533
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - NOR - M - Level, ratio or index - Norwegian Krone",Trend,0.0002,0.0013,0.0002,0.0028,0.0773,0.1349,0.4305,0.4018
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - NZL - M - Level, ratio or index - New Zealand Dollar",Trend,0.0015,0.4218,0.2654,0.1528,0.327,0.3309,0.2228,0.4431
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - POL - M - Level, ratio or index - Zloty",Trend,0.0799,0.0794,0.0343,0.0853,0.2148,0.2829,0.5283,0.5394
"KEI_05082020093546645 - Exchange rates,  monthly averages, National currency per US dollar - RUS - M - Level, ratio or index - Russian Ruble",Trend,0.0304,0.1756,0.1854,0.1321,0.1908,0.5307,0.552,0.6867
"KEI_05082020093546645 - Exports in goods, s.a. - AUT - M - Growth on the same period of the previous year - Percentage",Trend,0.0492,0.05,0.0135,0.0048,0.0081,0.0665,0.1484,0.0574
"KEI_05082020093546645 - Exports in goods, s.a. - BEL - M - Growth previous period - Percentage",Trend,0.0105,0.1703,0.0205,0.0187,0.0261,0.0206,0.0615,0.0949
"KEI_05082020093546645 - Exports in goods, s.a. - BEL - M - Level, ratio or index - US Dollar",Trend,0.0064,0.0563,0.0241,0.0118,0.0527,0.02,0.0357,0.0578
"KEI_05082020093546645 - Exports in goods, s.a. - BRA - M - Growth previous period - Percentage",Trend,0.2972,0.0112,0.0108,0.0001,0.0,0.0001,0.0003,0.0017
"KEI_05082020093546645 - Exports in goods, s.a. - BRA - M - Level, ratio or index - US Dollar",Trend,0.9535,0.0983,0.0826,0.0147,0.0007,0.0002,0.0023,0.002
"KEI_05082020093546645 - Exports in goods, s.a. - CAN - M - Growth on the same period of the previous year - Percentage",Trend,0.0279,0.1139,0.584,0.7764,0.6443,0.238,0.1254,0.1477
"KEI_05082020093546645 - Exports in goods, s.a. - CAN - M - Growth previous period - Percentage",Trend,0.1895,0.3782,0.4501,0.107,0.0474,0.0441,0.0926,0.135
"KEI_05082020093546645 - Exports in goods, s.a. - COL - M - Level, ratio or index - US Dollar",Trend,0.0006,0.001,0.0017,0.0132,0.0124,0.0774,0.1112,0.0928
"KEI_05082020093546645 - Exports in goods, s.a. - DNK - M - Growth on the same period of the previous year - Percentage",Trend,0.1006,0.0238,0.0413,0.0003,0.0001,0.0001,0.0,0.0
"KEI_05082020093546645 - Exports in goods, s.a. - DNK - M - Growth previous period - Percentage",Trend,0.0326,0.0058,0.0181,0.0101,0.0056,0.0246,0.0258,0.0101
"KEI_05082020093546645 - Exports in goods, s.a. - DNK - M - Level, ratio or index - US Dollar",Trend,0.0802,0.054,0.2027,0.0468,0.0074,0.0124,0.0242,0.0109
"KEI_05082020093546645 - Exports in goods, s.a. - EST - M - Growth on the same period of the previous year - Percentage",Trend,0.002,0.1144,0.3447,0.0219,0.0035,0.0058,0.0039,0.0037
"KEI_05082020093546645 - Exports in goods, s.a. - FRA - M - Growth previous period - Percentage",Trend,0.0,0.0156,0.3108,0.0427,0.0219,0.0065,0.0106,0.004
"KEI_05082020093546645 - Exports in goods, s.a. - FRA - M - Level, ratio or index - US Dollar",Trend,0.0007,0.0367,0.3073,0.0053,0.022,0.0268,0.0515,0.0234
"KEI_05082020093546645 - Exports in goods, s.a. - G-7 - M - Growth on the same period of the previous year - Percentage",Trend,0.0011,0.0639,0.2798,0.4729,0.5885,0.1893,0.3609,0.2308
"KEI_05082020093546645 - Exports in goods, s.a. - G-7 - M - Growth previous period - Percentage",Trend,0.0101,0.3578,0.2029,0.5123,0.1629,0.0173,0.0624,0.2232
"KEI_05082020093546645 - Exports in goods, s.a. - G-7 - M - Level, ratio or index - US Dollar",Trend,0.0004,0.0038,0.0282,0.1043,0.3127,0.0591,0.1454,0.2177
"KEI_05082020093546645 - Exports in goods, s.a. - GBR - M - Growth on the same period of the previous year - Percentage",Trend,0.0441,0.118,0.3105,0.2134,0.0319,0.0429,0.0674,0.0278
"KEI_05082020093546645 - Exports in goods, s.a. - GBR - M - Growth previous period - Percentage",Trend,0.0002,0.0015,0.0,0.014,0.0027,0.0028,0.0019,0.013
"KEI_05082020093546645 - Exports in goods, s.a. - GBR - M - Level, ratio or index - US Dollar",Trend,0.0,0.0001,0.0001,0.0032,0.0014,0.0019,0.001,0.0031
"KEI_05082020093546645 - Exports in goods, s.a. - IRL - M - Growth previous period - Percentage",Trend,0.0156,0.0522,0.0233,0.0126,0.0077,0.043,0.02,0.0203
"KEI_05082020093546645 - Exports in goods, s.a. - ISL - M - Growth previous period - Percentage",Trend,0.0405,0.0128,0.0621,0.002,0.0007,0.0051,0.0051,0.0046
"KEI_05082020093546645 - Exports in goods, s.a. - ISL - M - Level, ratio or index - US Dollar",Trend,0.6242,0.0144,0.1434,0.0171,0.0023,0.0261,0.0139,0.0099
"KEI_05082020093546645 - Exports in goods, s.a. - ISR - M - Growth previous period - Percentage",Trend,0.0001,0.044,0.103,0.117,0.071,0.4375,0.3788,0.6622
"KEI_05082020093546645 - Exports in goods, s.a. - ISR - M - Level, ratio or index - US Dollar",Trend,0.0,0.0365,0.0696,0.04,0.0026,0.0633,0.0879,0.2798
"KEI_05082020093546645 - Exports in goods, s.a. - KOR - M - Growth on the same period of the previous year - Percentage",Trend,0.0001,0.0014,0.0019,0.035,0.0728,0.111,0.1198,0.0486
"KEI_05082020093546645 - Exports in goods, s.a. - NOR - M - Growth previous period - Percentage",Trend,0.0178,0.0009,0.0,0.0006,0.0023,0.0067,0.0068,0.0413
"KEI_05082020093546645 - Exports in goods, s.a. - NOR - M - Level, ratio or index - US Dollar",Trend,0.0049,0.0,0.0001,0.0,0.0001,0.0031,0.0065,0.0078
"KEI_05082020093546645 - Exports in goods, s.a. - NZL - M - Growth previous period - Percentage",Trend,0.0438,0.0175,0.1442,0.0019,0.0051,0.0765,0.2386,0.3591
"KEI_05082020093546645 - Exports in goods, s.a. - NZL - M - Level, ratio or index - US Dollar",Trend,0.0136,0.0045,0.0706,0.0061,0.0092,0.0472,0.104,0.1449
"KEI_05082020093546645 - Exports in goods, s.a. - OECD - M - Growth previous period - Percentage",Trend,0.0029,0.1428,0.0166,0.2512,0.0892,0.0132,0.0377,0.1115
"KEI_05082020093546645 - Exports in goods, s.a. - TUR - M - Growth on the same period of the previous year - Percentage",Trend,0.0112,0.0604,0.0867,0.0349,0.0734,0.0965,0.0217,0.0058
"KEI_05082020093546645 - Exports in goods, s.a. - TUR - M - Growth previous period - Percentage",Trend,0.1131,0.2382,0.3824,0.1215,0.0545,0.1957,0.1842,0.0969
"KEI_05082020093546645 - Exports in goods, s.a. - TUR - M - Level, ratio or index - US Dollar",Trend,0.0603,0.275,0.2728,0.1229,0.1057,0.1722,0.1447,0.1067
"KEI_05082020093546645 - Exports in goods, s.a. - USA - M - Growth on the same period of the previous year - Percentage",Trend,0.0127,0.0072,0.1678,0.03,0.0106,0.0248,0.0271,0.0183
"KEI_05082020093546645 - Exports in goods, s.a. - USA - M - Growth previous period - Percentage",Trend,0.4209,0.2216,0.3254,0.1545,0.0171,0.0942,0.128,0.4008
"KEI_05082020093546645 - Exports in goods, s.a. - USA - M - Level, ratio or index - US Dollar",Trend,0.1157,0.1678,0.4535,0.1747,0.0352,0.0614,0.1792,0.1468
"KEI_05082020093546645 - Exports in goods, s.a. - ZAF - M - Growth previous period - Percentage",Trend,0.1731,0.3006,0.0785,0.0012,0.0003,0.0017,0.0015,0.0427
"KEI_05082020093546645 - Exports in goods, s.a. - ZAF - M - Level, ratio or index - US Dollar",Trend,0.0941,0.014,0.0107,0.0001,0.0001,0.0002,0.0023,0.0356
"KEI_05082020093546645 - GDP (ratio to trend, smoothed) - AUS - M - Level, ratio or index - Index",Trend,0.8954,0.1433,0.0708,0.1136,0.0485,0.0338,0.0167,0.0182
"KEI_05082020093546645 - GDP (ratio to trend, smoothed) - CHE - M - Level, ratio or index - Index",Trend,0.3645,0.0112,0.0032,0.0146,0.0056,0.0047,0.001,0.0005
