Date,Total Compound Score,Avg Classification,Scaled Total Compound Score
20150628,-1.99,-0.33,-0.19
20150629,-2.49,-0.4,-0.23
20150630,-3.01,-0.29,-0.28
20150701,-6.73,-0.64,-0.6
20150702,0.97,0.14,0.07
20150703,0.09,0.0,-0.01
20150704,0.09,0.0,-0.01
20150705,-0.84,-0.5,-0.09
20150706,-4.66,-0.54,-0.42
20150707,-3.46,-0.38,-0.32
20150708,-1.52,-0.14,-0.15
20150709,0.76,0.09,0.05
20150710,-0.81,-0.5,-0.09
20150711,-0.81,-0.5,-0.09
20150712,-2.49,-0.43,-0.23
20150713,-5.21,-0.45,-0.47
20150714,-2.08,-0.33,-0.2
20150715,-1.51,-0.09,-0.15
20150716,-0.53,-0.09,-0.06
20150717,-2.85,-1.0,-0.26
20150718,-2.85,-1.0,-0.26
20150719,-3.67,-0.67,-0.33
20150720,-8.32,-0.69,-0.74
20150721,-0.62,-0.11,-0.07
20150722,-6.34,-0.5,-0.56
20150723,-0.18,0.0,-0.03
20150724,-2.0,-0.5,-0.19
20150725,-2.0,-0.5,-0.19
20150726,-1.53,-0.6,-0.15
20150727,-3.19,-0.4,-0.29
20150728,-4.53,-0.4,-0.41
20150729,1.74,0.2,0.13
20150730,-4.74,-0.4,-0.43
20150731,-1.67,-0.2,-0.16
20150801,-1.67,-0.2,-0.16
20150802,-3.08,-0.43,-0.28
20150803,-9.04,-0.83,-0.8
20150804,4.62,0.45,0.38
20150805,-2.55,-0.17,-0.24
20150806,-5.25,-0.5,-0.47
20150807,1.46,0.5,0.11
20150808,1.46,0.5,0.11
20150809,-3.06,-0.6,-0.28
20150810,5.45,0.6,0.45
20150811,-2.28,-0.33,-0.21
20150812,3.2,0.27,0.26
20150813,-4.84,-0.4,-0.43
20150814,0.62,0.33,0.04
20150815,0.62,0.33,0.04
20150816,-0.61,0.0,-0.07
20150817,-3.4,-0.5,-0.31
20150818,-3.5,-0.4,-0.32
20150819,0.44,0.0,0.02
20150820,1.09,0.09,0.08
20150821,1.93,0.5,0.15
20150822,1.93,0.5,0.15
20150823,-1.99,-0.33,-0.19
20150824,-5.38,-0.5,-0.48
20150825,2.97,0.33,0.24
20150826,-2.9,-0.25,-0.27
20150827,1.95,0.25,0.15
20150828,2.66,0.67,0.21
20150829,2.66,0.67,0.21
20150830,-2.57,-1.0,-0.24
20150831,-3.02,-0.4,-0.28
20150901,-2.41,-0.33,-0.23
20150902,-5.69,-0.5,-0.51
20150903,1.96,0.4,0.15
20150904,-3.54,-1.0,-0.32
20150905,-3.54,-1.0,-0.32
20150906,-2.88,-0.6,-0.27
20150907,-3.99,-0.5,-0.36
20150908,-2.96,-0.33,-0.27
20150909,-3.56,-0.4,-0.32
20150910,4.44,0.5,0.37
20150911,-1.96,-0.5,-0.19
20150912,-1.96,-0.5,-0.19
20150913,-0.91,-0.2,-0.1
20150914,0.59,0.2,0.03
20150915,2.55,0.6,0.2
20150916,6.4,1.0,0.54
20150917,0.52,0.0,0.03
20150918,1.11,0.33,0.08
20150919,1.11,0.33,0.08
20150920,-0.52,-0.2,-0.06
20150921,-0.61,-0.2,-0.07
20150922,-0.8,0.0,-0.09
20150923,-3.85,-0.4,-0.35
20150924,2.85,0.27,0.23
20150925,-1.0,-0.33,-0.1
20150926,-1.0,-0.33,-0.1
20150927,-3.84,-1.0,-0.35
20150928,-3.82,-0.67,-0.35
20150929,-2.32,-0.2,-0.22
20150930,-0.88,0.0,-0.09
20151001,0.45,-0.11,0.02
20151002,1.95,0.33,0.15
20151003,1.95,0.33,0.15
20151004,-0.66,-0.5,-0.07
20151005,1.99,0.25,0.16
20151006,3.37,0.5,0.27
20151007,-0.08,0.0,-0.02
20151008,1.76,0.33,0.14
20151009,1.84,1.0,0.14
20151010,1.84,1.0,0.14
20151011,1.8,0.5,0.14
20151012,1.25,0.08,0.09
20151013,1.67,0.08,0.13
20151014,1.64,0.08,0.12
20151015,-6.55,-0.54,-0.58
20151016,-0.12,-0.33,-0.03
20151017,-0.12,-0.33,-0.03
20151018,-2.75,-0.6,-0.25
20151019,-5.28,-0.5,-0.47
20151020,1.86,0.09,0.14
20151021,-6.48,-0.5,-0.58
20151022,3.23,0.23,0.26
20151023,0.09,0.0,-0.01
20151024,0.09,0.0,-0.01
20151025,-0.17,0.0,-0.03
20151026,-1.01,-0.11,-0.1
20151027,-4.26,-0.38,-0.38
20151028,-0.68,-0.11,-0.08
20151029,-6.73,-0.78,-0.6
20151030,2.93,1.0,0.24
20151031,2.93,1.0,0.24
20151101,-2.86,-0.6,-0.26
20151102,-4.74,-0.45,-0.43
20151103,0.79,0.0,0.05
20151104,-5.31,-0.38,-0.48
20151105,-2.06,-0.27,-0.19
20151106,0.19,0.0,-0.0
20151107,0.19,0.0,-0.0
20151108,0.26,0.0,0.01
20151109,-4.3,-0.6,-0.39
20151110,1.86,0.27,0.14
20151111,-5.43,-0.5,-0.49
20151112,-8.12,-0.71,-0.72
20151113,-1.87,-0.33,-0.18
20151114,-1.87,-0.33,-0.18
20151115,1.63,0.33,0.12
20151116,5.1,0.38,0.42
20151117,-6.68,-0.43,-0.59
20151118,-1.96,-0.17,-0.19
20151119,-0.31,-0.09,-0.04
20151120,-2.32,-0.6,-0.22
20151121,-2.32,-0.6,-0.22
20151122,-1.68,-0.33,-0.16
20151123,-3.57,-0.29,-0.33
20151124,4.15,0.45,0.34
20151125,-4.06,-0.4,-0.37
20151126,-4.83,-0.56,-0.43
20151127,-5.87,-1.0,-0.52
20151128,-5.87,-1.0,-0.52
20151129,0.97,0.2,0.07
20151130,-2.2,-0.2,-0.21
20151201,2.9,0.17,0.23
20151202,-3.72,-0.45,-0.34
20151203,2.99,0.27,0.24
20151204,0.07,0.0,-0.01
20151205,0.07,0.0,-0.01
20151206,-1.92,-0.33,-0.18
20151207,-5.54,-0.5,-0.5
20151208,-2.01,-0.17,-0.19
20151209,5.32,0.54,0.44
20151210,-4.46,-0.4,-0.4
20151211,-1.99,-0.6,-0.19
20151212,-1.99,-0.6,-0.19
20151213,-2.76,-0.6,-0.26
20151214,-8.61,-0.6,-0.76
20151215,-1.23,-0.2,-0.12
20151216,-3.08,-0.33,-0.28
20151217,-6.87,-0.54,-0.61
20151218,0.09,0.0,-0.01
20151219,0.09,0.0,-0.01
20151220,-2.48,-0.6,-0.23
20151221,0.0,0.0,-0.02
20151222,2.58,0.27,0.21
20151223,1.89,0.0,0.15
20151224,6.4,0.78,0.54
20151225,6.4,0.78,0.54
20151226,6.4,0.78,0.54
20151227,-1.14,-0.33,-0.12
20151228,-4.83,-0.5,-0.43
20151229,5.5,0.75,0.46
20151230,-4.25,-0.71,-0.38
20151231,-1.83,-0.33,-0.17
20160101,-1.83,-0.33,-0.17
20160102,-1.83,-0.33,-0.17
20160103,0.87,-0.14,0.06
20160104,0.01,-0.08,-0.02
20160105,-0.02,0.0,-0.02
20160106,-1.44,-0.08,-0.14
20160107,0.4,0.0,0.02
20160108,-3.4,-0.6,-0.31
20160109,-3.4,-0.6,-0.31
20160110,-1.79,-0.33,-0.17
20160111,-4.93,-0.45,-0.44
20160112,-9.53,-0.71,-0.84
20160113,1.82,0.17,0.14
20160114,-1.83,-0.17,-0.17
20160115,-1.98,-0.33,-0.19
20160116,0.0,0.0,-0.02
20160117,-1.63,-0.33,-0.16
20160118,-4.04,-0.2,-0.37
20160119,-1.41,-0.07,-0.14
20160120,-2.3,-0.17,-0.22
20160121,-1.09,-0.09,-0.11
20160122,4.92,0.71,0.41
20160123,-0.77,-1.0,-0.08
20160124,1.47,0.2,0.11
20160125,-2.97,-0.14,-0.27
