Date,Total Compound Score,Avg Classification,Scaled Total Compound Score
20170221,4.31,0.5,0.36
20170222,2.4,0.18,0.19
20170223,5.45,0.47,0.45
20170224,-1.59,-0.09,-0.15
20170225,0.62,0.0,0.04
20170226,-0.78,-0.33,-0.08
20170227,1.1,0.0,0.08
20170228,-9.94,-0.56,-0.88
20170301,-4.37,-0.29,-0.39
20170302,-0.12,0.0,-0.03
20170303,3.31,0.5,0.27
20170304,3.31,0.5,0.27
20170305,1.47,0.14,0.11
20170306,1.28,0.08,0.09
20170307,-4.19,-0.25,-0.38
20170308,-7.98,-0.53,-0.71
20170309,-3.94,-0.22,-0.36
20170310,1.52,0.17,0.11
20170311,0.32,1.0,0.01
20170312,0.86,0.14,0.06
20170313,-2.01,-0.14,-0.19
20170314,-5.92,-0.54,-0.53
20170315,8.51,0.53,0.72
20170316,-0.67,-0.07,-0.07
20170317,4.1,0.71,0.34
20170318,-1.03,-1.0,-0.11
20170319,-1.6,-0.2,-0.16
20170320,3.1,0.18,0.25
20170321,0.91,0.12,0.06
20170322,-5.47,-0.54,-0.49
20170323,1.78,0.07,0.14
20170324,5.75,0.5,0.48
20170325,2.58,1.0,0.21
20170326,1.57,0.14,0.12
20170327,0.5,0.0,0.03
20170328,5.9,0.36,0.49
20170329,-1.11,-0.07,-0.11
20170330,-2.29,-0.14,-0.21
20170331,-0.21,0.0,-0.03
20170401,-0.21,0.0,-0.03
20170402,-2.73,-0.33,-0.25
20170403,1.0,0.0,0.07
20170404,4.75,0.33,0.39
20170405,2.6,0.25,0.21
20170406,4.49,0.25,0.37
20170407,4.84,0.56,0.4
20170408,4.84,0.56,0.4
20170409,1.28,0.33,0.09
20170410,3.82,0.33,0.31
20170411,3.82,0.33,0.31
20170412,2.07,0.11,0.16
20170413,5.23,0.56,0.43
20170414,1.63,1.0,0.12
20170415,1.27,0.33,0.09
20170416,0.01,0.0,-0.02
20170417,-2.53,-0.2,-0.24
20170418,-3.64,-0.33,-0.33
20170419,0.73,0.1,0.05
20170420,0.73,0.14,0.05
20170421,-0.83,0.0,-0.09
20170422,-0.2,-1.0,-0.03
20170423,-0.78,0.0,-0.08
20170424,-2.88,-0.23,-0.27
20170425,-2.18,-0.2,-0.21
20170426,-2.1,-0.2,-0.2
20170427,-2.89,-0.2,-0.27
20170428,1.97,0.23,0.15
20170429,1.97,0.23,0.15
20170430,-0.59,0.0,-0.07
20170501,-7.82,-0.8,-0.69
20170502,3.81,0.5,0.31
20170503,-2.13,-0.25,-0.2
20170504,-5.49,-0.38,-0.49
20170505,3.84,0.5,0.31
20170506,0.07,1.0,-0.01
20170507,1.26,0.5,0.09
20170508,-1.77,-0.12,-0.17
20170509,0.95,0.07,0.07
20170510,5.97,0.47,0.5
20170511,5.03,0.29,0.42
20170512,0.66,0.0,0.04
20170513,0.66,0.0,0.04
20170514,0.56,0.33,0.03
20170515,8.17,0.6,0.69
20170516,2.89,0.29,0.23
20170517,0.29,0.0,0.01
20170518,2.9,0.17,0.23
20170519,-0.05,-0.09,-0.02
20170520,0.4,1.0,0.02
20170521,-1.46,-0.2,-0.14
20170522,8.63,0.47,0.73
20170523,-2.55,-0.18,-0.24
20170524,-2.42,-0.29,-0.23
20170525,-5.22,-0.33,-0.47
20170526,1.91,0.09,0.15
20170527,1.91,0.09,0.15
20170528,0.04,0.33,-0.01
20170529,-0.86,0.0,-0.09
20170530,-4.72,-0.6,-0.42
20170531,-2.57,-0.27,-0.24
20170601,-3.37,-0.33,-0.31
20170602,-2.97,-0.25,-0.27
20170603,0.2,1.0,0.0
20170604,3.99,0.43,0.33
20170605,2.54,0.11,0.2
20170606,6.77,0.5,0.57
20170607,-7.99,-0.71,-0.71
20170608,-4.31,-0.29,-0.39
20170609,-4.78,-0.54,-0.43
20170610,-1.63,-1.0,-0.16
20170611,-0.56,0.0,-0.07
20170612,6.43,0.57,0.54
20170613,-4.77,-0.33,-0.43
20170614,-0.72,-0.12,-0.08
20170615,-5.54,-0.5,-0.5
20170616,2.37,0.43,0.19
20170617,2.37,0.43,0.19
20170618,-0.53,0.0,-0.06
20170619,-6.05,-0.33,-0.54
20170620,-6.45,-0.38,-0.57
20170621,2.19,0.18,0.17
20170622,5.45,0.33,0.45
20170623,4.58,0.56,0.38
20170624,4.58,0.56,0.38
20170625,-0.76,0.0,-0.08
20170626,-0.12,-0.17,-0.03
20170627,5.53,0.33,0.46
20170628,1.06,0.08,0.07
20170629,0.07,0.0,-0.01
20170630,-2.3,-0.67,-0.22
20170701,-2.3,-0.67,-0.22
20170702,-0.84,-0.2,-0.09
20170703,-0.88,0.0,-0.09
20170704,-2.61,-0.27,-0.24
20170705,-8.07,-0.71,-0.71
20170706,1.98,0.33,0.15
20170707,-3.91,-0.33,-0.35
20170708,-3.91,-0.33,-0.35
20170709,1.6,0.33,0.12
20170710,2.1,0.29,0.16
20170711,2.35,0.27,0.19
20170712,0.58,-0.12,0.03
20170713,-5.76,-0.43,-0.51
20170714,4.1,0.45,0.34
20170715,0.79,1.0,0.05
20170716,3.11,0.67,0.25
20170717,7.19,0.54,0.6
20170718,3.78,0.33,0.31
20170719,3.06,0.17,0.25
20170720,1.62,0.17,0.12
20170721,-0.34,0.0,-0.05
20170722,-0.25,-1.0,-0.04
20170723,-2.45,-0.33,-0.23
20170724,6.58,0.64,0.55
20170725,2.35,0.12,0.19
20170726,2.64,0.12,0.21
20170727,-1.01,-0.14,-0.1
20170728,3.17,0.5,0.26
20170729,3.17,0.5,0.26
20170730,1.51,0.14,0.11
20170731,1.33,0.09,0.1
20170801,-4.03,-0.29,-0.37
20170802,-2.26,-0.2,-0.21
20170803,-3.27,-0.2,-0.3
20170804,0.15,0.14,-0.0
20170805,0.15,0.14,-0.0
20170806,-2.54,-0.5,-0.24
20170807,-7.53,-0.57,-0.67
20170808,0.37,-0.08,0.02
20170809,1.51,0.0,0.11
20170810,8.29,0.6,0.7
20170811,4.34,0.6,0.36
20170812,0.95,1.0,0.07
20170813,-0.48,0.2,-0.06
20170814,-3.75,-0.56,-0.34
20170815,-7.28,-0.64,-0.65
20170816,-0.9,-0.12,-0.09
20170817,1.52,0.14,0.11
20170818,5.22,0.71,0.43
20170819,0.89,1.0,0.06
20170820,-2.13,-0.33,-0.2
20170821,1.95,0.23,0.15
20170822,3.18,0.33,0.26
20170823,-3.59,-0.33,-0.33
20170824,-1.78,-0.08,-0.17
20170825,1.6,0.11,0.12
20170826,1.96,1.0,0.15
20170827,4.01,0.33,0.33
20170828,4.1,0.24,0.34
20170829,7.12,0.41,0.6
20170830,-3.44,-0.18,-0.31
20170831,-0.12,-0.04,-0.03
20170901,-1.24,-0.09,-0.12
20170902,-1.55,-0.5,-0.15
20170903,3.15,1.0,0.26
20170904,-0.79,-0.23,-0.09
20170905,7.88,0.39,0.66
20170906,2.73,0.25,0.22
20170907,-4.85,-0.47,-0.44
20170908,1.7,0.0,0.13
20170909,1.7,0.0,0.13
20170910,0.55,0.2,0.03
20170911,-2.02,-0.06,-0.19
20170912,-3.98,-0.33,-0.36
20170913,0.3,0.09,0.01
20170914,0.62,0.0,0.04
20170915,0.01,-0.43,-0.02
20170916,-0.07,-1.0,-0.02
20170917,-1.73,-1.0,-0.17
20170918,0.18,0.07,-0.0
20170919,2.57,0.27,0.21
20170920,5.1,0.56,0.42
20170921,-4.39,-0.56,-0.4
20170922,0.99,0.0,0.07
20170923,0.0,0.0,-0.02
20170924,-2.32,-0.5,-0.22
20170925,1.8,0.12,0.14
20170926,-3.09,-0.12,-0.28
20170927,-6.15,-0.33,-0.55
20170928,-1.94,-0.14,-0.18
20170929,5.5,0.5,0.46
20170930,0.54,0.0,0.03
20171001,-3.7,-1.0,-0.34
20171002,-11.38,-0.75,-1.0
20171003,-6.84,-0.67,-0.61
20171004,-4.31,-0.29,-0.39
20171005,4.79,0.47,0.4
20171006,-4.81,-0.54,-0.43
20171007,3.08,1.0,0.25
20171008,-0.14,0.0,-0.03
20171009,5.23,0.45,0.43
20171010,4.83,0.33,0.4
20171011,-1.41,-0.09,-0.14
20171012,-2.08,-0.25,-0.2
20171013,5.92,1.0,0.49
20171014,5.92,1.0,0.49
20171015,1.93,0.33,0.15
20171016,3.61,0.16,0.3
20171017,6.15,0.37,0.51
20171018,-6.14,-0.37,-0.55
20171019,-5.36,-0.5,-0.48
20171020,-1.49,-0.17,-0.15
20171021,0.99,1.0,0.07
20171022,-3.72,-0.67,-0.34
20171023,3.81,0.2,0.31
20171024,2.36,0.18,0.19
20171025,-9.53,-0.73,-0.84
20171026,2.18,0.14,0.17
20171027,2.32,0.14,0.18
20171028,2.32,0.14,0.18
20171029,0.11,0.0,-0.01
20171030,2.39,0.18,0.19
20171031,0.23,0.0,0.0
20171101,7.7,0.3,0.65
20171102,1.84,0.14,0.14
20171103,-2.19,-0.27,-0.21
20171104,-2.19,-0.27,-0.21
20171105,-0.12,-0.14,-0.03
20171106,6.06,0.47,0.51
20171107,1.23,0.12,0.09
20171108,-0.82,-0.11,-0.09
20171109,-0.2,0.0,-0.03
20171110,0.52,0.09,0.03
20171111,-0.56,-1.0,-0.07
20171112,-0.79,-0.33,-0.09
20171113,1.27,0.05,0.09
20171114,-2.37,-0.09,-0.22
20171115,-5.9,-0.38,-0.53
20171116,1.72,0.27,0.13
20171117,7.55,0.71,0.64
20171118,7.55,0.71,0.64
20171119,-3.7,-1.0,-0.34
20171120,-2.89,-0.2,-0.27
20171121,6.93,0.47,0.58
20171122,6.28,0.37,0.53
20171123,0.14,0.0,-0.0
20171124,5.04,0.6,0.42
20171125,5.04,0.6,0.42
20171126,-0.84,-0.33,-0.09
20171127,-1.41,-0.05,-0.14
20171128,-4.55,-0.33,-0.41
20171129,0.52,0.0,0.03
20171130,-1.09,-0.06,-0.11
20171201,5.66,1.0,0.47
20171202,5.66,1.0,0.47
20171203,-6.53,-1.0,-0.58
20171204,-4.4,-0.38,-0.4
20171205,-2.75,-0.2,-0.25
20171206,-5.74,-0.37,-0.51
20171207,-1.1,-0.14,-0.11
20171208,-0.35,0.0,-0.05
20171209,-0.45,0.0,-0.06
20171210,-3.78,-1.0,-0.34
20171211,3.32,0.33,0.27
20171212,7.98,0.62,0.67
20171213,-0.34,0.0,-0.05
20171214,1.5,0.08,0.11
20171215,1.63,0.27,0.12
20171216,0.91,1.0,0.06
20171217,-1.17,-0.33,-0.12
20171218,3.25,0.14,0.26
20171219,11.05,0.85,0.94
20171220,-0.55,-0.14,-0.06
20171221,-0.76,0.11,-0.08
20171222,2.28,0.67,0.18
20171223,1.82,1.0,0.14
20171224,1.82,1.0,0.14
20171225,2.47,1.0,0.2
20171226,6.22,0.6,0.52
20171227,-3.2,-0.67,-0.29
20171228,3.11,0.2,0.25
20171229,11.52,1.0,0.98
20171230,11.52,1.0,0.98
20171231,0.95,1.0,0.07
20180101,-3.8,-1.0,-0.35
20180102,5.6,0.6,0.47
20180103,1.42,0.09,0.11
20180104,0.49,0.0,0.03
20180105,-1.91,-0.5,-0.18
20180106,-1.91,-0.5,-0.18
20180107,-3.13,-0.6,-0.29
20180108,-0.92,-0.09,-0.1
20180109,1.39,0.06,0.1
20180110,4.35,0.38,0.36
20180111,1.88,0.17,0.15
20180112,2.06,0.33,0.16
20180113,-0.45,0.0,-0.06
20180114,-2.8,-0.6,-0.26
20180115,1.8,0.25,0.14
20180116,-2.6,-0.2,-0.24
20180117,1.56,0.08,0.12
20180118,-2.46,-0.14,-0.23
20180119,-4.82,-0.64,-0.43
20180120,-0.28,-1.0,-0.04
20180121,-3.71,-0.56,-0.34
20180122,-0.09,-0.07,-0.02
20180123,5.57,0.38,0.46
20180124,4.76,0.43,0.39
20180125,-2.29,-0.33,-0.21
20180126,-0.13,0.11,-0.03
20180127,0.85,1.0,0.06
20180128,-1.19,-0.2,-0.12
20180129,-4.33,-0.23,-0.39
20180130,-5.51,-0.47,-0.49
20180131,1.54,0.17,0.12
20180201,5.79,0.43,0.48
20180202,0.4,0.2,0.02
20180203,0.4,0.2,0.02
20180204,-4.34,-0.67,-0.39
20180205,-5.42,-0.54,-0.49
20180206,-2.26,-0.25,-0.21
20180207,-5.26,-0.5,-0.47
20180208,-4.21,-0.38,-0.38
20180209,-4.12,-0.45,-0.37
20180210,-4.12,-0.45,-0.37
20180211,0.19,0.0,-0.0
20180212,10.21,0.75,0.87
20180213,-1.55,-0.06,-0.15
20180214,-1.99,-0.23,-0.19
20180215,-1.34,0.0,-0.13
20180216,0.29,0.14,0.01
20180217,0.92,1.0,0.06
20180218,-0.89,-0.2,-0.09
20180219,0.38,0.11,0.02
20180220,-5.51,-0.5,-0.49
20180221,-6.98,-0.54,-0.62
20180222,-1.14,0.0,-0.12
20180223,-2.33,-0.27,-0.22
20180224,0.01,0.33,-0.02
20180225,-0.62,0.0,-0.07
20180226,1.03,0.2,0.07
20180227,-4.47,-0.33,-0.4
20180228,-1.1,-0.17,-0.11
20180301,-1.83,-0.14,-0.17
20180302,1.16,0.18,0.08
20180303,-0.64,-1.0,-0.07
20180304,-0.45,-0.2,-0.06
20180305,-1.14,-0.27,-0.12
20180306,0.38,-0.07,0.02
20180307,-6.26,-0.38,-0.56
20180308,1.46,0.0,0.11
20180309,-0.92,-0.17,-0.1
20180310,-0.92,-0.17,-0.1
20180311,0.89,0.33,0.06
20180312,-6.32,-0.64,-0.56
20180313,-0.37,0.0,-0.05
20180314,2.88,0.38,0.23
20180315,3.21,0.2,0.26
20180316,0.81,0.27,0.05
20180317,0.91,0.33,0.06
20180318,-0.81,-0.33,-0.09
20180319,-5.68,-0.38,-0.51
20180320,-2.02,-0.2,-0.19
20180321,1.87,0.14,0.14
20180322,3.23,0.2,0.26
20180323,4.32,0.45,0.36
20180324,0.54,1.0,0.03
20180325,-1.74,-0.5,-0.17
20180326,0.03,0.14,-0.01
20180327,-3.61,-0.4,-0.33
20180328,-8.82,-0.4,-0.78
20180329,2.08,0.06,0.16
20180330,-1.3,-0.2,-0.13
20180331,-1.3,-0.2,-0.13
20180401,-1.74,-1.0,-0.17
20180402,-0.76,-0.08,-0.08
20180403,1.52,0.25,0.11
20180404,0.03,0.0,-0.01
20180405,1.7,0.17,0.13
20180406,-1.11,-0.17,-0.11
20180407,0.94,1.0,0.06
20180408,-0.48,0.0,-0.06
20180409,1.99,0.2,0.16
20180410,5.78,0.54,0.48
20180411,5.4,0.43,0.45
20180412,-0.19,-0.06,-0.03
20180413,6.96,0.67,0.58
20180414,-0.51,-1.0,-0.06
20180415,-1.77,-0.5,-0.17
20180416,-3.26,-0.27,-0.3
20180417,4.2,0.25,0.35
20180418,-0.59,-0.09,-0.07
20180419,-0.65,-0.1,-0.07
20180420,-1.9,-0.12,-0.18
20180421,-1.9,-0.12,-0.18
20180422,-1.57,-0.5,-0.15
20180423,-6.67,-0.5,-0.59
20180424,0.89,0.14,0.06
20180425,0.99,0.08,0.07
20180426,3.15,0.18,0.26
20180427,0.82,0.08,0.05
20180428,0.82,0.08,0.05
20180429,-2.81,-1.0,-0.26
20180430,-3.57,-0.29,-0.33
20180501,-0.54,0.0,-0.06
20180502,-3.04,-0.2,-0.28
20180503,-0.7,-0.11,-0.08
20180504,0.94,0.09,0.06
20180505,-0.64,0.0,-0.07
20180506,0.59,0.2,0.03
20180507,7.21,0.69,0.61
20180508,0.19,0.27,-0.0
20180509,4.44,0.45,0.37
20180510,4.72,0.33,0.39
20180511,3.65,0.38,0.3
20180512,0.5,1.0,0.03
20180513,-0.91,-0.33,-0.1
20180514,-2.37,-0.09,-0.22
20180515,1.63,0.12,0.12
20180516,2.24,0.08,0.18
20180517,9.87,0.85,0.84
20180518,0.16,0.08,-0.0
20180519,0.16,0.08,-0.0
20180520,1.89,1.0,0.15
20180521,2.43,0.33,0.19
20180522,-1.41,-0.09,-0.14
20180523,-1.86,-0.11,-0.18
20180524,3.39,0.38,0.28
20180525,-5.56,-0.38,-0.5
20180526,-0.33,0.0,-0.05
20180527,-1.0,-0.33,-0.1
20180528,-4.54,-0.45,-0.41
20180529,-4.52,-0.33,-0.41
20180530,-1.04,0.0,-0.11
20180531,-0.08,0.0,-0.02
20180601,-2.4,-0.25,-0.22
20180602,0.7,1.0,0.04
20180603,-3.5,-0.6,-0.32
20180604,-5.98,-0.67,-0.53
20180605,1.0,0.0,0.07
20180606,-0.57,-0.08,-0.07
20180607,4.98,0.5,0.41
20180608,-5.26,-0.6,-0.47
20180609,-0.67,-1.0,-0.07
20180610,-2.58,-1.0,-0.24
20180611,1.02,0.09,0.07
20180612,-2.6,-0.14,-0.24
20180613,-4.28,-0.29,-0.39
20180614,1.59,0.38,0.12
20180615,-4.33,-0.18,-0.39
20180616,0.98,1.0,0.07
20180617,-1.76,-1.0,-0.17
20180618,-0.3,-0.2,-0.04
20180619,-4.29,-0.33,-0.39
20180620,-0.73,-0.05,-0.08
20180621,-8.26,-0.45,-0.73
20180622,1.01,0.12,0.07
20180623,-1.93,-1.0,-0.18
20180624,0.1,0.0,-0.01
20180625,-2.82,-0.33,-0.26
20180626,-0.56,0.08,-0.07
20180627,1.1,0.0,0.08
20180628,-4.37,-0.33,-0.39
20180629,0.34,0.09,0.01
20180630,-0.99,-1.0,-0.1
20180701,-3.37,-0.67,-0.31
20180702,-4.55,-0.56,-0.41
20180703,5.52,0.43,0.46
20180704,-1.14,0.0,-0.12
20180705,-3.85,-0.25,-0.35
20180706,-1.88,-0.07,-0.18
20180707,0.66,1.0,0.04
20180708,-1.18,-0.5,-0.12
20180709,1.32,0.0,0.1
20180710,2.38,0.2,0.19
20180711,-9.8,-0.75,-0.86
20180712,0.57,0.0,0.03
20180713,-4.93,-0.71,-0.44
20180714,-4.93,-0.71,-0.44
20180715,-0.51,0.0,-0.06
20180716,-6.53,-0.8,-0.58
20180717,-0.29,0.0,-0.04
20180718,0.44,0.09,0.02
20180719,-1.83,0.0,-0.17
20180720,1.02,0.1,0.07
20180721,0.12,0.0,-0.01
20180722,-1.8,-1.0,-0.17
20180723,-0.73,-0.09,-0.08
20180724,5.54,0.43,0.46
20180725,0.29,0.08,0.01
20180726,1.88,0.08,0.15
20180727,-4.72,-1.0,-0.42
20180728,-4.72,-1.0,-0.42
20180729,0.18,0.2,-0.0
20180730,-4.48,-0.45,-0.4
20180731,-4.7,-0.6,-0.42
20180801,-5.33,-0.45,-0.48
20180802,-2.01,-0.33,-0.19
20180803,-2.72,-0.27,-0.25
20180804,-2.72,-0.27,-0.25
20180805,-0.93,-0.33,-0.1
20180806,1.86,0.33,0.14
20180807,7.07,0.8,0.59
20180808,-1.45,-0.11,-0.14
20180809,-0.22,0.09,-0.04
20180810,-2.12,-0.17,-0.2
20180811,0.0,0.0,-0.02
20180812,-1.88,-0.6,-0.18
20180813,-8.44,-0.62,-0.75
20180814,1.6,0.2,0.12
20180815,-6.35,-0.38,-0.57
20180816,3.32,0.5,0.27
20180817,-1.83,-0.2,-0.17
20180818,-1.83,-0.2,-0.17
20180819,-2.04,-1.0,-0.19
20180820,3.0,0.23,0.24
20180821,5.26,0.6,0.44
20180822,2.33,0.2,0.18
20180823,-1.98,-0.2,-0.19
20180824,11.77,0.86,1.0
20180825,11.77,0.86,1.0
20180826,-1.91,-1.0,-0.18
20180827,3.49,0.33,0.28
20180828,-2.25,-0.2,-0.21
20180829,-0.07,0.05,-0.02
20180830,0.16,0.2,-0.0
20180831,0.86,0.0,0.06
20180901,0.86,0.0,0.06
20180902,-1.79,-1.0,-0.17
20180903,-0.02,0.0,-0.02
20180904,5.75,0.33,0.48
20180905,3.25,0.4,0.26
20180906,-4.08,-0.33,-0.37
20180907,-7.64,-0.67,-0.68
20180908,0.99,1.0,0.07
20180909,-0.31,-0.33,-0.04
20180910,3.15,0.23,0.26
20180911,0.09,-0.07,-0.01
20180912,-3.48,-0.23,-0.32
20180913,1.82,0.11,0.14
20180914,-1.76,-0.08,-0.17
20180915,0.86,1.0,0.06
20180916,-3.93,-0.67,-0.36
20180917,-1.29,-0.2,-0.13
20180918,3.18,0.2,0.26
20180919,3.7,0.4,0.3
20180920,-0.83,0.0,-0.09
20180921,1.68,0.17,0.13
20180922,-0.85,-1.0,-0.09
20180923,-0.61,-0.14,-0.07
20180924,8.34,0.57,0.7
20180925,3.19,0.29,0.26
20180926,-2.48,-0.23,-0.23
20180927,2.79,0.14,0.22
20180928,1.4,0.0,0.1
20180929,0.97,1.0,0.07
20180930,0.19,0.0,-0.0
20181001,3.48,0.29,0.28
20181002,2.89,0.18,0.23
20181003,-4.6,-0.38,-0.41
20181004,-3.04,-0.33,-0.28
20181005,8.17,0.83,0.69
20181006,-0.38,-1.0,-0.05
20181007,-4.64,-1.0,-0.42
20181008,-3.28,-0.29,-0.3
20181009,-0.13,-0.14,-0.03
20181010,0.28,0.0,0.01
20181011,-2.91,-0.33,-0.27
20181012,1.48,0.09,0.11
20181013,1.48,0.09,0.11
20181014,-1.77,-1.0,-0.17
20181015,3.13,0.47,0.25
20181016,1.77,0.17,0.14
20181017,-1.78,-0.2,-0.17
20181018,-3.21,-0.4,-0.29
20181019,3.76,0.33,0.31
20181020,3.76,0.33,0.31
20181021,-1.51,-0.5,-0.15
20181022,0.09,0.0,-0.01
20181023,-3.05,-0.23,-0.28
20181024,-4.35,-0.56,-0.39
20181025,-2.91,-0.23,-0.27
20181026,0.32,0.0,0.01
20181027,-0.61,-1.0,-0.07
20181028,-1.67,-1.0,-0.16
20181029,-4.69,-0.6,-0.42
20181030,-5.1,-0.45,-0.46
20181031,-4.08,-0.5,-0.37
20181101,0.56,-0.07,0.03
20181102,-4.57,-0.78,-0.41
20181103,0.44,1.0,0.02
20181104,-1.86,-0.33,-0.18
20181105,-1.35,-0.25,-0.13
20181106,-6.98,-0.38,-0.62
20181107,0.12,0.0,-0.01
20181108,-6.5,-0.54,-0.58
20181109,-4.07,-0.29,-0.37
20181110,1.55,1.0,0.12
20181111,-5.09,-0.56,-0.46
20181112,4.02,0.2,0.33
20181113,-5.98,-0.57,-0.53
20181114,7.22,0.6,0.61
20181115,3.08,0.29,0.25
20181116,0.98,0.2,0.07
20181117,0.98,0.2,0.07
20181118,0.92,0.33,0.06
20181119,-3.98,-0.27,-0.36
20181120,-0.87,-0.09,-0.09
20181121,10.05,0.73,0.85
20181122,-2.92,-0.6,-0.27
20181123,-3.92,-0.27,-0.36
20181124,-3.92,-0.27,-0.36
20181125,0.86,0.2,0.06
20181126,1.66,0.2,0.13
20181127,-4.61,-0.25,-0.42
20181128,8.84,0.62,0.75
20181129,3.88,0.33,0.32
20181130,-1.44,-0.2,-0.14
20181201,0.45,1.0,0.02
20181202,2.04,0.33,0.16
20181203,3.02,0.11,0.24
20181204,5.01,0.5,0.42
20181205,3.53,0.38,0.29
20181206,-8.57,-0.47,-0.76
20181207,4.92,0.56,0.41
20181208,4.92,0.56,0.41
20181209,-1.06,-0.33,-0.11
20181210,-2.56,-0.4,-0.24
20181211,3.57,0.38,0.29
20181212,0.55,0.0,0.03
20181213,2.47,-0.06,0.2
20181214,-7.55,-0.8,-0.67
20181215,-0.04,0.0,-0.02
20181216,-3.05,-0.67,-0.28
20181217,1.84,0.11,0.14
20181218,1.48,0.11,0.11
20181219,-0.94,-0.08,-0.1
20181220,-3.5,-0.23,-0.32
20181221,-4.69,-0.6,-0.42
20181222,-4.69,-0.6,-0.42
20181223,1.11,0.33,0.08
20181224,-0.11,-0.11,-0.03
20181225,0.98,1.0,0.07
20181226,4.98,0.56,0.41
20181227,-2.13,-0.14,-0.2
20181228,4.49,0.4,0.37
20181229,1.59,1.0,0.12
20181230,0.45,0.33,0.02
20181231,-3.35,-0.67,-0.31
20190101,-3.35,-0.67,-0.31
20190102,-0.31,0.0,-0.04
20190103,4.59,0.43,0.38
20190104,1.14,0.17,0.08
20190105,-0.97,-1.0,-0.1
20190106,-1.74,-0.5,-0.17
20190107,7.58,0.54,0.64
20190108,4.1,0.5,0.34
20190109,2.29,0.33,0.18
20190110,-4.64,-0.2,-0.42
20190111,2.27,0.4,0.18
20190112,-1.11,-0.33,-0.11
20190113,-1.55,-0.2,-0.15
20190114,0.64,0.0,0.04
20190115,3.39,0.45,0.28
20190116,6.7,0.5,0.56
20190117,-3.73,-0.45,-0.34
20190118,2.39,0.27,0.19
20190119,1.71,1.0,0.13
20190120,-0.01,0.0,-0.02
20190121,-2.85,-0.6,-0.26
20190122,-2.9,-0.27,-0.27
20190123,-1.59,-0.17,-0.15
20190124,-10.46,-0.62,-0.92
20190125,-1.35,-0.27,-0.13
20190126,0.88,1.0,0.06
20190127,-2.66,-0.5,-0.25
20190128,-1.99,-0.18,-0.19
20190129,4.46,0.26,0.37
20190130,4.08,0.25,0.34
20190131,5.31,0.38,0.44
20190201,0.55,0.09,0.03
20190202,0.55,0.09,0.03
20190203,-1.27,-0.5,-0.13
20190204,-0.7,0.11,-0.08
20190205,-0.05,0.0,-0.02
20190206,-1.94,-0.14,-0.18
20190207,2.87,0.29,0.23
20190208,2.25,0.25,0.18
20190209,2.25,0.25,0.18
20190210,-3.3,-0.6,-0.3
20190211,-4.57,-0.12,-0.41
20190212,7.69,0.41,0.65
20190213,5.24,0.64,0.44
20190214,3.86,0.38,0.32
20190215,7.06,0.67,0.59
20190216,-0.48,-1.0,-0.06
20190217,-1.79,-1.0,-0.17
20190218,3.65,0.5,0.3
20190219,3.53,0.29,0.29
20190220,-0.32,0.08,-0.04
20190221,-0.36,-0.06,-0.05
20190222,-1.42,-0.2,-0.14
20190223,-1.42,-0.2,-0.14
20190224,-2.65,-1.0,-0.25
20190225,-1.06,-0.12,-0.11
20190226,5.34,0.33,0.44
20190227,0.85,0.08,0.06
20190228,1.39,0.06,0.1
20190301,-1.46,-0.2,-0.14
20190302,-1.46,-0.2,-0.14
20190303,-0.22,0.0,-0.04
20190304,-1.76,-0.2,-0.17
20190305,0.99,0.08,0.07
20190306,-0.27,0.0,-0.04
20190307,-3.92,-0.38,-0.36
20190308,-2.42,-0.11,-0.23
20190309,-2.42,-0.11,-0.23
20190310,-0.83,-0.33,-0.09
20190311,2.83,0.18,0.23
20190312,5.53,0.44,0.46
20190313,8.8,0.62,0.74
20190314,-2.73,-0.12,-0.25
20190315,0.37,0.14,0.02
20190316,-0.23,0.0,-0.04
20190317,-4.48,-0.38,-0.4
20190318,0.81,0.0,0.05
20190319,3.02,0.6,0.24
20190320,5.11,0.41,0.42
20190321,2.51,0.27,0.2
20190322,-1.31,-0.11,-0.13
20190323,-1.31,-0.11,-0.13
20190324,-1.84,-1.0,-0.18
20190325,0.69,0.0,0.04
20190326,0.96,0.08,0.07
20190327,-3.41,-0.4,-0.31
20190328,-9.72,-0.65,-0.86
20190329,3.17,0.23,0.26
20190330,-0.94,-1.0,-0.1
20190331,-2.25,-0.2,-0.21
20190401,1.71,0.2,0.13
20190402,4.38,0.29,0.36
20190403,2.11,0.17,0.17
20190404,-1.23,-0.17,-0.12
20190405,-1.08,-0.14,-0.11
20190406,-0.6,0.0,-0.07
20190407,-0.5,-0.33,-0.06
20190408,9.29,0.6,0.79
20190409,2.65,0.22,0.21
20190410,0.24,0.09,0.0
20190411,-7.67,-0.82,-0.68
20190412,3.3,0.4,0.27
20190413,0.22,1.0,0.0
20190414,-0.98,-0.2,-0.1
20190415,-6.89,-0.64,-0.61
20190416,-5.59,-0.44,-0.5
20190417,-0.97,0.0,-0.1
20190418,-0.92,-0.17,-0.1
20190419,1.17,1.0,0.08
20190420,1.17,1.0,0.08
20190421,-0.86,-1.0,-0.09
20190422,4.4,0.29,0.36
20190423,4.52,0.37,0.37
20190424,-2.0,-0.14,-0.19
20190425,-5.67,-0.57,-0.51
20190426,1.25,0.0,0.09
20190427,-1.45,-0.33,-0.14
20190428,-0.55,-0.33,-0.06
20190429,-6.58,-0.54,-0.59
